bc/ent_loss,bc/epoch,bc/batch,batch_size,bc/prob_true_act,bc/loss,bc/entropy,bc/l2_loss,bc/samples_so_far,bc/l2_norm,bc/neglogp
-0.004256815649569035,0,0,32,0.05206485465168953,2.9705650806427,4.256815433502197,0.0,32,672.5001220703125,2.9748218059539795
-0.0027481557335704565,0,500,32,0.23684626817703247,1.5138953924179077,2.7481555938720703,0.0,16032,855.291259765625,1.5166435241699219
-0.0013684852747246623,0,1000,32,0.9440851807594299,0.11318995803594589,1.3684852123260498,0.0,32032,1068.7733154296875,0.11455844342708588
-0.00017285718058701605,1,1500,32,2.367702007293701,-0.6807194352149963,0.1728571653366089,0.0,48032,1302.880615234375,-0.6805465817451477
0.000792648468632251,1,2000,32,6.971131324768066,-1.6758984327316284,-0.792648434638977,0.0,64032,1503.089111328125,-1.6766910552978516
0.0016067306278273463,1,2500,32,13.583751678466797,-2.2879412174224854,-1.606730580329895,0.0,80032,1661.06640625,-2.289547920227051
0.0022965380921959877,2,3000,32,30.265178680419922,-3.1454036235809326,-2.2965378761291504,0.0,96032,1801.9620361328125,-3.147700071334839
0.002911824267357588,2,3500,32,42.39060592651367,-3.160392999649048,-2.9118242263793945,0.0,112032,1928.909912109375,-3.1633048057556152
0.0034445817582309246,3,4000,32,104.22438049316406,-4.287240982055664,-3.4445815086364746,0.0,128032,2036.326416015625,-4.290685653686523
0.004045531619340181,3,4500,32,146.6389617919922,-4.172336578369141,-4.045531272888184,0.0,144032,2144.050048828125,-4.176382064819336
0.00453201262280345,3,5000,32,219.87771606445312,-5.065471649169922,-4.532012462615967,0.0,160032,2240.153564453125,-5.070003509521484
0.005023655015975237,4,5500,32,397.3662109375,-5.670138835906982,-5.023654937744141,0.0,176032,2321.245361328125,-5.675162315368652
0.0053920806385576725,4,6000,32,461.89154052734375,-5.002863883972168,-5.392080307006836,0.0,192032,2403.96826171875,-5.008255958557129
0.005787185858935118,4,6500,32,934.720703125,-6.297914028167725,-5.7871856689453125,0.0,208032,2465.364501953125,-6.303701400756836
0.006163110490888357,5,7000,32,1080.99365234375,-6.694987773895264,-6.163110256195068,0.0,224032,2523.31640625,-6.701150894165039
0.006415998097509146,5,7500,32,1732.376220703125,-6.96824312210083,-6.4159979820251465,0.0,240032,2580.73095703125,-6.974658966064453
0.006684587337076664,6,8000,32,2150.634765625,-7.202188968658447,-6.684587001800537,0.0,256032,2625.76220703125,-7.208873748779297
0.006977830082178116,6,8500,32,2284.193359375,-6.486687660217285,-6.977829933166504,0.0,272032,2672.369140625,-6.49366569519043
0.00711901905015111,6,9000,32,2804.109375,-7.3274245262146,-7.1190185546875,0.0,288032,2710.887451171875,-7.334543704986572
0.0071228123269975185,7,9500,32,2379.99853515625,-6.917590141296387,-7.122811794281006,0.0,304032,2743.130615234375,-6.924713134765625
0.007487901486456394,7,10000,32,5075.666015625,-8.231538772583008,-7.487901210784912,0.0,320032,2767.57568359375,-8.23902702331543
0.007483952213078737,7,10500,32,5174.16748046875,-8.334505081176758,-7.483952045440674,0.0,336032,2794.762451171875,-8.341988563537598
0.007786210626363754,8,11000,32,5497.99169921875,-7.821919918060303,-7.786210060119629,0.0,352032,2818.361572265625,-7.829706192016602
0.0077170622535049915,8,11500,32,5441.35498046875,-7.779912948608398,-7.717061996459961,0.0,368032,2843.258544921875,-7.787630081176758
0.008013532496988773,9,12000,32,7091.23828125,-6.917854309082031,-8.013531684875488,0.0,384032,2859.66845703125,-6.925868034362793
0.008140170946717262,9,12500,32,8365.513671875,-8.661014556884766,-8.140170097351074,0.0,400032,2878.3515625,-8.66915512084961
0.008228674530982971,9,13000,32,11074.5751953125,-9.017786026000977,-8.228673934936523,0.0,416032,2894.611328125,-9.02601432800293
0.00839380081743002,10,13500,32,1292.6314697265625,-5.9511847496032715,-8.393800735473633,0.0,432032,2908.3359375,-5.959578514099121
0.008522000163793564,10,14000,32,0.010781172662973404,13.014015197753906,-8.52199935913086,0.0,448032,2920.734130859375,13.0054931640625
0.008381158113479614,10,14500,32,10265.236328125,-8.596210479736328,-8.381157875061035,0.0,464032,2937.168212890625,-8.604591369628906
0.008711107075214386,11,15000,32,5533.06640625,-7.710477352142334,-8.711106300354004,0.0,480032,2949.883056640625,-7.719188690185547
0.008747984655201435,11,15500,32,17585.88671875,-9.299519538879395,-8.747983932495117,0.0,496032,2962.78173828125,-9.308267593383789
0.008460563607513905,12,16000,32,11541.181640625,-8.831586837768555,-8.460563659667969,0.0,512032,2976.82373046875,-8.840047836303711
0.008796011097729206,12,16500,32,14183.306640625,-9.384440422058105,-8.796010971069336,0.0,528032,2984.909912109375,-9.39323616027832
0.008952802047133446,12,17000,32,22528.71484375,-9.563709259033203,-8.952801704406738,0.0,544032,2996.4404296875,-9.572662353515625
0.008925007656216621,13,17500,32,18131.28125,-9.337223052978516,-8.925006866455078,0.0,560032,3008.310791015625,-9.346148490905762
0.009034313261508942,13,18000,32,24736.62890625,-9.74345874786377,-9.034313201904297,0.0,576032,3017.98291015625,-9.752492904663086
0.008579595014452934,13,18500,32,16883.33203125,-9.586695671081543,-8.579594612121582,0.0,592032,3029.00048828125,-9.595274925231934
0.008892345242202282,14,19000,32,22777.431640625,-9.895537376403809,-8.89234447479248,0.0,608032,3039.82958984375,-9.90442943572998
0.009052724577486515,14,19500,32,22539.10546875,-9.840662002563477,-9.05272388458252,0.0,624032,3048.79345703125,-9.849714279174805
0.009106052108108997,15,20000,32,22814.197265625,-9.425322532653809,-9.106051445007324,0.0,640032,3058.211669921875,-9.434428215026855
