rollout/return_mean,bc/entropy,bc/l2_norm,batch_size,rollout/return_min,rollout/return_max,bc/ent_loss,rollout/return_std,bc/batch,bc/epoch,bc/samples_so_far,bc/neglogp,bc/l2_loss,bc/loss,bc/prob_true_act
-53.330841064453125,4.256815433502197,672.5001220703125,32,-59.32155990600586,-48.147823333740234,-0.004256815649569035,3.667316198348999,0,0,32,3.0609271537674965,0.0,3.0566703381179274,0.04836271547222719
-29.65289878845215,3.9340531826019287,732.78662109375,32,-43.39614486694336,-18.088932037353516,-0.003934053238481283,8.726841926574707,0,0,32,2.6398263905223542,0.0,2.635892337283873,0.07249216838370551
8.152023315429688,3.126617193222046,823.272216796875,32,-21.568851470947266,37.324031829833984,-0.0031266172882169485,20.59305763244629,0,0,32,1.7724435688898983,0.0,1.7693169516016813,0.17256597345044705
14.141738891601562,1.8797037601470947,1051.72900390625,32,-23.322738647460938,52.86624526977539,-0.0018797038355842233,31.695144653320312,0,0,32,0.5594292813508106,0.0,0.5575495775152264,0.5910358963137866
432.9913635253906,0.4838968515396118,1389.1009521484375,32,223.5263671875,514.5042114257812,-0.0004838968743570149,106.92880249023438,500,4,16032,-0.8599208323081241,0.0,-0.8604047291824811,2.4143414017402125
578.2515869140625,0.2773946523666382,1436.96044921875,32,279.7434387207031,845.3199462890625,-0.00027739466167986393,229.31910705566406,0,0,32,-0.879117651473074,0.0,-0.8793950461347538,2.672314095839636
876.2980346679688,-0.8637557029724121,1776.8072509765625,32,829.113037109375,913.9066162109375,0.0008637557621113956,28.725513458251953,500,3,16032,-2.0793943457792814,0.0,-2.07853059001717,8.302614271310508
881.4478759765625,-1.4003463983535767,1901.1875,32,840.1497192382812,918.2062377929688,0.0014003465184941888,25.87164306640625,0,0,32,-0.7006096377457041,0.0,-0.6992092912272099,11.260167011712799
894.5333862304688,-2.2551286220550537,2180.811279296875,32,860.0112915039062,934.00341796875,0.0022551286965608597,28.926298141479492,500,2,16032,-3.1446098901859063,0.0,-3.1423547614893454,28.858552419431106
805.604248046875,-2.9392528533935547,2378.86083984375,32,417.23809814453125,926.7056884765625,0.002939252881333232,195.3789825439453,0,0,32,-2.648320026904087,0.0,-2.6453807740227537,51.706036370657685
811.1768188476562,-3.551602363586426,2598.1982421875,32,540.2543334960938,924.0054931640625,0.0035516025964170694,137.77723693847656,500,2,16032,-3.866417231473303,0.0,-3.862865628876886,73.94199735026754
785.0275268554688,-4.308947563171387,2799.05126953125,32,504.7403259277344,932.4033813476562,0.004308947827666998,166.84234619140625,1000,4,32032,-4.57247975888647,0.0,-4.568170811058803,178.0804331286422
790.8141479492188,-4.31348991394043,2801.212158203125,32,355.5505065917969,921.2007446289062,0.004313489887863398,218.43972778320312,0,0,32,-4.40239140380841,0.0,-4.398077913920547,165.8518049519082
753.5015258789062,-4.885078430175781,2974.362548828125,32,333.4318542480469,906.9055786132812,0.004885078873485327,214.71792602539062,500,2,16032,-5.634037809413538,0.0,-5.629152730540053,330.7087973957954
725.8841552734375,-5.497676372528076,3139.162353515625,32,503.9690856933594,878.026611328125,0.005497676786035299,171.07725524902344,1000,4,32032,-6.1278809561648675,0.0,-6.122383279378832,585.3968969898981
847.8933715820312,-5.619988441467285,3174.95068359375,32,644.6806030273438,928.2050170898438,0.005619988776743412,104.29651641845703,0,0,32,-6.026070364902797,0.0,-6.020450376126053,807.5718745290054
873.6246948242188,-5.877169132232666,3307.8740234375,32,794.9092407226562,932.6011962890625,0.005877169314771891,45.18273162841797,500,2,16032,-6.639278342604706,0.0,-6.6334011732899345,1024.5281730697504
776.6583251953125,-6.513853549957275,3423.063232421875,32,327.2401428222656,931.3024291992188,0.006513854023069143,228.15589904785156,1000,4,32032,-6.625075264454851,0.0,-6.618561410431782,1265.7800616151596
904.2354736328125,-6.635433197021484,3478.924072265625,32,880.775634765625,932.30078125,0.006635433528572321,21.616939544677734,0,0,32,-6.431515542771943,0.0,-6.424880109243371,1495.550435658367
771.6281127929688,-6.857264041900635,3575.40283203125,32,547.809814453125,924.6995849609375,0.006857264321297407,123.86231231689453,500,1,16032,-7.221926185793654,0.0,-7.215068921472357,2047.1170542208174
737.9859008789062,-7.279507637023926,3674.482666015625,32,374.6820983886719,935.0055541992188,0.00727950781583786,202.86619567871094,1000,3,32032,-6.816018090250349,0.0,-6.808738582434511,2344.0331722468686
809.239013671875,-7.374795436859131,3739.9677734375,32,683.3838500976562,920.0025634765625,0.0073747956193983555,101.45828247070312,0,0,32,-6.950719538165332,0.0,-6.943344742545934,2602.9893489520996
876.9320068359375,-7.383008003234863,3824.272216796875,32,840.2615356445312,937.1051635742188,0.007383008487522602,32.939186096191406,500,1,16032,-7.221597636869877,0.0,-7.214214628382354,2195.427068758423
790.5750732421875,-7.6735076904296875,3898.861328125,32,435.9239196777344,930.6047973632812,0.007673508021980524,183.35784912109375,1000,3,32032,-8.609836513346995,0.0,-8.602163005325014,6183.812187364894
737.2522583007812,-7.7986369132995605,3971.17626953125,32,239.73904418945312,890.6363525390625,0.007798637263476849,251.10806274414062,0,0,32,-8.167249377106277,0.0,-8.1594507398428,5801.029257702515
868.2620849609375,-7.752381801605225,4035.623779296875,32,798.9616088867188,930.8056640625,0.007752382196485996,55.41064453125,500,1,16032,-8.236918492179846,0.0,-8.22916610998336,5062.412953613635
806.774658203125,-8.063279151916504,4093.93994140625,32,404.6390686035156,930.605224609375,0.008063279092311859,201.89981079101562,1000,3,32032,-7.180413997802076,0.0,-7.172350718709764,6111.035011881598
