batch_size,bc/neglogp,bc/prob_true_act,bc/l2_norm,bc/batch,bc/loss,bc/epoch,bc/entropy,bc/samples_so_far,bc/ent_loss,bc/l2_loss
32,1.6126221418380737,0.19936522841453552,672.500244140625,0,1.6110126972198486,0,1.6094233989715576,32,-0.0016094234306365252,0.0
32,0.35732656717300415,0.7447820901870728,891.9063720703125,500,0.35684123635292053,3,0.4853246808052063,16032,-0.00048532470827922225,0.0
32,0.41907694935798645,0.7378237247467041,1057.8431396484375,1000,0.4185921549797058,6,0.48478367924690247,32032,-0.00048478369717486203,0.0
32,0.2941308319568634,0.8633124828338623,1267.9967041015625,1500,0.2939351201057434,10,0.195723295211792,48032,-0.00019572330347727984,0.0
32,0.13893690705299377,0.9083467721939087,1439.779296875,2000,0.13878567516803741,13,0.1512390524148941,64032,-0.00015123905905056745,0.0
32,0.1970352679491043,0.8941219449043274,1594.532958984375,2500,0.19683299958705902,16,0.20227088034152985,80032,-0.00020227089407853782,0.0
32,0.055913154035806656,0.9590141177177429,1748.6201171875,3000,0.05583036318421364,20,0.08279076963663101,96032,-8.279077155748382e-05,0.0
32,0.057339347898960114,0.9527775049209595,1897.521240234375,3500,0.05722687393426895,23,0.11247273534536362,112032,-0.00011247274233028293,0.0
32,0.016346268355846405,0.9853414297103882,2029.07421875,4000,0.016303714364767075,27,0.04255473241209984,128032,-4.255473322700709e-05,0.0
32,0.08755716681480408,0.9374255537986755,2165.3837890625,4500,0.08744822442531586,30,0.10894393175840378,144032,-0.00010894393926719204,0.0
32,0.015194348990917206,0.9862821102142334,2323.824951171875,5000,0.015155788511037827,33,0.038560137152671814,160032,-3.8560137909371406e-05,0.0
32,0.0025714971125125885,0.9974822998046875,2441.81201171875,5500,0.0025598385836929083,37,0.011658634059131145,176032,-1.165863432106562e-05,0.0
32,0.04732389748096466,0.9694892764091492,2606.4580078125,6000,0.04727073386311531,40,0.053164828568696976,192032,-5.316482929629274e-05,0.0
32,0.013060227036476135,0.9877685308456421,2746.78955078125,6500,0.013020849786698818,43,0.039377499371767044,208032,-3.9377500797854736e-05,0.0
32,0.0025841370224952698,0.9975137710571289,2869.86376953125,7000,0.0025745423045009375,47,0.009594779461622238,224032,-9.594779839972034e-06,0.0
