bc/ent_loss,bc/l2_loss,bc/samples_so_far,bc/batch,bc/entropy,bc/neglogp,batch_size,bc/prob_true_act,bc/l2_norm,bc/loss,bc/epoch
-0.0016094234306365252,0.0,32,0,1.6094233989715576,1.6125984191894531,32,0.1993699073791504,672.500244140625,1.610988974571228,0
-0.00048091818462125957,0.0,16032,500,0.48091816902160645,0.49651047587394714,32,0.7279070615768433,894.67431640625,0.4960295557975769,1
-0.0003571825218386948,0.0,32032,1000,0.35718250274658203,0.47457537055015564,32,0.7826507091522217,1121.6312255859375,0.4742181897163391,3
-0.0004091513983439654,0.0,48032,1500,0.4091513752937317,0.278666615486145,32,0.8137980699539185,1269.6505126953125,0.27825745940208435,5
-0.00021862558787688613,0.0,64032,2000,0.21862557530403137,0.35088199377059937,32,0.8396055698394775,1421.40673828125,0.35066336393356323,6
-0.0002630792441777885,0.0,80032,2500,0.2630792260169983,0.1846904158592224,32,0.8817755579948425,1574.3446044921875,0.18442733585834503,8
-0.0001587697333889082,0.0,96032,3000,0.15876972675323486,0.13726715743541718,32,0.9082605838775635,1735.489013671875,0.13710838556289673,10
-0.00017095495422836393,0.0,112032,3500,0.17095494270324707,0.19843798875808716,32,0.8870764374732971,1908.7957763671875,0.19826702773571014,12
-0.00020292801491450518,0.0,128032,4000,0.20292800664901733,0.3001958727836609,32,0.8400120735168457,2086.18505859375,0.29999294877052307,13
-0.00010347496572649106,0.0,144032,4500,0.10347495973110199,0.04169924557209015,32,0.9632247686386108,2262.40185546875,0.04159577190876007,15
-7.101386290742084e-05,0.0,160032,5000,0.07101386040449142,0.027969082817435265,32,0.9748291969299316,2426.8095703125,0.027898069471120834,17
-3.570915578166023e-05,0.0,176032,5500,0.03570915386080742,0.03458341956138611,32,0.9772613048553467,2605.674072265625,0.03454770892858505,19
-0.00010207864397671074,0.0,192032,6000,0.1020786389708519,0.05152606964111328,32,0.9568755030632019,2784.302734375,0.05142398923635483,20
-3.9054732042131945e-05,0.0,208032,6500,0.03905472904443741,0.009341204538941383,32,0.9909145832061768,2939.4541015625,0.009302149526774883,22
-3.114182618446648e-05,0.0,224032,7000,0.031141825020313263,0.007551863789558411,32,0.9926514625549316,3110.321044921875,0.007520721759647131,24
-1.0402545740362257e-05,0.0,240032,7500,0.01040254533290863,0.0024939775466918945,32,0.9975696206092834,3277.995849609375,0.0024835749063640833,26
-5.243998020887375e-05,0.0,256032,8000,0.05243997648358345,0.021243847906589508,32,0.9813308119773865,3428.076416015625,0.02119140699505806,27
-1.3265493180369958e-05,0.0,272032,8500,0.013265492394566536,0.1392146497964859,32,0.9675991535186768,3553.960693359375,0.13920138776302338,29
-1.1443121366028208e-05,0.0,288032,9000,0.011443120427429676,0.0029911547899246216,32,0.9971114993095398,3722.556640625,0.002979711629450321,31
-5.8856105169979855e-05,0.0,304032,9500,0.05885610356926918,0.03476245701313019,32,0.9754613637924194,3902.79833984375,0.03470360115170479,33
-1.3955841495771892e-05,0.0,320032,10000,0.013955840840935707,0.0036132708191871643,32,0.9965012073516846,4018.380126953125,0.0035993149504065514,34
-7.158723747124895e-05,0.0,336032,10500,0.07158723473548889,0.06426285952329636,32,0.9539077877998352,4164.44970703125,0.06419127434492111,36
-4.5296754251467064e-05,0.0,352032,11000,0.04529675096273422,0.15027457475662231,32,0.9352536201477051,4320.357421875,0.15022927522659302,38
-9.833751391852275e-06,0.0,368032,11500,0.009833751246333122,0.0018965527415275574,32,0.9981226921081543,4454.12353515625,0.0018867190228775144,40
-9.432894216843124e-07,0.0,384032,12000,0.0009432893712073565,0.00012427568435668945,32,0.9998758435249329,4571.74267578125,0.00012333240010775626,41
-8.327996283696848e-07,0.0,400032,12500,0.0008327995892614126,0.00010020285844802856,32,0.9998998641967773,4724.16357421875,9.937005961546674e-05,43
-1.3909709196013864e-05,0.0,416032,13000,0.013909708708524704,0.0029863305389881134,32,0.9970653057098389,4917.51953125,0.002972420770674944,45
-3.277790938227554e-06,0.0,432032,13500,0.0032777907326817513,0.0005239062011241913,32,0.9994781017303467,5002.14013671875,0.0005206284113228321,47
-2.329068593098782e-05,0.0,448032,14000,0.023290684446692467,0.02317562699317932,32,0.9834980964660645,5159.7880859375,0.023152336478233337,48
