bc/ent_loss,bc/batch,bc/l2_loss,batch_size,bc/samples_so_far,bc/l2_norm,bc/loss,bc/entropy,bc/neglogp,bc/prob_true_act,bc/epoch
-0.004256815649569035,0,0.0,32,32,672.5001220703125,3.053168535232544,4.256815433502197,3.0574252605438232,0.04864083230495453,0
-0.00274463789537549,500,0.0,32,16032,864.621826171875,1.4812352657318115,2.7446377277374268,1.4839799404144287,0.23932066559791565,0
-0.0013577709905803204,1000,0.0,32,32032,1079.0819091796875,0.0818113312125206,1.3577709197998047,0.08316910266876221,0.9476963877677917,1
-0.00017008889699354768,1500,0.0,32,48032,1290.356689453125,-0.3642691671848297,0.17008888721466064,-0.36409908533096313,2.023047924041748,1
0.0008463704725727439,2000,0.0,32,64032,1489.6893310546875,-1.6480441093444824,-0.8463704586029053,-1.648890495300293,6.443403244018555,2
0.0016486262902617455,2500,0.0,32,80032,1665.1861572265625,-2.4455974102020264,-1.6486262083053589,-2.4472460746765137,14.785554885864258,3
0.002360152779147029,3000,0.0,32,96032,1829.6220703125,-2.1568961143493652,-2.3601527214050293,-2.1592562198638916,24.807159423828125,3
0.002981585683301091,3500,0.0,32,112032,1965.7410888671875,-2.527599573135376,-2.9815855026245117,-2.53058123588562,50.04347229003906,4
0.00358252483420074,4000,0.0,32,128032,2086.481201171875,-3.963501453399658,-3.5825247764587402,-3.9670839309692383,115.96977996826172,5
0.004131549969315529,4500,0.0,32,144032,2204.2177734375,-3.7766380310058594,-4.131549835205078,-3.7807695865631104,126.59553527832031,5
0.004667548928409815,5000,0.0,32,160032,2306.885498046875,-5.305136680603027,-4.667548656463623,-5.309804439544678,238.9278564453125,6
0.005081647075712681,5500,0.0,32,176032,2403.3017578125,-5.701296329498291,-5.081646919250488,-5.706377983093262,422.3292236328125,6
0.0055528185330331326,6000,0.0,32,192032,2492.831787109375,-6.284708023071289,-5.552818298339844,-6.2902607917785645,726.610107421875,7
0.00595514103770256,6500,0.0,32,208032,2567.6953125,-6.672369480133057,-5.955140590667725,-6.6783246994018555,1062.5189208984375,8
0.006176306400448084,7000,0.0,32,224032,2638.758056640625,-6.942587375640869,-6.176306247711182,-6.948763847351074,1321.7828369140625,8
0.006427918095141649,7500,0.0,32,240032,2710.07470703125,-7.061357021331787,-6.427917957305908,-7.067784786224365,1607.114013671875,9
0.006776663940399885,8000,0.0,32,256032,2768.129638671875,-6.936592102050781,-6.776663780212402,-6.943368911743164,1754.0811767578125,10
0.006894222926348448,8500,0.0,32,272032,2818.76611328125,-7.4923505783081055,-6.894222736358643,-7.499244689941406,2602.931640625,10
0.007175350096076727,9000,0.0,32,288032,2864.734619140625,-7.097092151641846,-7.175349712371826,-7.104267597198486,1904.50439453125,11
0.00700598256662488,9500,0.0,32,304032,2920.065673828125,-8.020039558410645,-7.005982398986816,-8.027045249938965,3505.927734375,12
0.007382186595350504,10000,0.0,32,320032,2957.932373046875,-7.611042022705078,-7.382186412811279,-7.618424415588379,3605.95654296875,12
0.007500519976019859,10500,0.0,32,336032,2997.386474609375,-7.749329566955566,-7.500519752502441,-7.756830215454102,3933.1923828125,13
0.007708386518061161,11000,0.0,32,352032,3036.782470703125,-8.491844177246094,-7.708385944366455,-8.499552726745605,6208.3251953125,13
0.0077546159736812115,11500,0.0,32,368032,3072.694580078125,-7.714104175567627,-7.754615783691406,-7.721858978271484,5573.203125,14
0.007982512004673481,12000,0.0,32,384032,3102.762939453125,-7.694403171539307,-7.9825119972229,-7.702385902404785,5170.6142578125,15
0.008157540112733841,12500,0.0,32,400032,3135.30517578125,-7.278176307678223,-8.157539367675781,-7.286334037780762,4119.37548828125,15
0.00807154644280672,13000,0.0,32,416032,3167.435546875,-8.265384674072266,-8.071545600891113,-8.273456573486328,6162.9638671875,16
0.008376487530767918,13500,0.0,32,432032,3192.475341796875,-8.96433162689209,-8.376486778259277,-8.972707748413086,11611.5546875,17
0.008396230638027191,14000,0.0,32,448032,3219.069091796875,-6.481040000915527,-8.396230697631836,-6.489436149597168,2912.556884765625,17
0.00827556662261486,14500,0.0,32,464032,3241.88720703125,-8.240079879760742,-8.275566101074219,-8.248355865478516,7145.52880859375,18
0.008457559160888195,15000,0.0,32,480032,3261.30810546875,-8.5266695022583,-8.457558631896973,-8.535126686096191,12164.490234375,19
0.008663872256875038,15500,0.0,32,496032,3283.760498046875,-9.24605655670166,-8.663871765136719,-9.254720687866211,15718.533203125,19
0.008564385585486889,16000,0.0,32,512032,3310.0478515625,-8.289536476135254,-8.564385414123535,-8.298100471496582,9450.52734375,20
0.008682506158947945,16500,0.0,32,528032,3330.445068359375,-9.232008934020996,-8.68250560760498,-9.240691184997559,17683.123046875,20
0.008792083710432053,17000,0.0,32,544032,3352.958251953125,-9.559432029724121,-8.792083740234375,-9.56822395324707,18492.072265625,21
0.008779286406934261,17500,0.0,32,560032,3377.225830078125,-9.346822738647461,-8.77928638458252,-9.355602264404297,15764.68359375,22
0.008711514063179493,18000,0.0,32,576032,3396.84375,-8.248611450195312,-8.71151351928711,-8.257323265075684,10423.21875,22
0.009071722626686096,18500,0.0,32,592032,3415.18359375,-9.521641731262207,-9.071722030639648,-9.530713081359863,21794.806640625,23
0.009041229262948036,19000,0.0,32,608032,3434.539306640625,-9.699544906616211,-9.041229248046875,-9.708585739135742,20504.345703125,24
0.008600161410868168,19500,0.0,32,624032,3453.877685546875,-8.521194458007812,-8.600160598754883,-8.529794692993164,9840.9921875,24
