bc/ent_loss,rollout/return_max,bc/l2_norm,bc/epoch,bc/entropy,bc/prob_true_act,bc/neglogp,bc/samples_so_far,bc/batch,rollout/return_mean,rollout/return_min,rollout/return_std,bc/l2_loss,bc/loss,batch_size
-0.004256815649569035,-48.14784622192383,128.50015258789062,0,4.256815433502197,0.050010734669851876,3.0314560990782513,32,0,-53.33085250854492,-59.321533203125,3.667299747467041,0.0,3.0271992834286823,32
-0.003945740405470133,-37.5,142.5937042236328,0,3.945740222930908,0.07152461840866324,2.6637285080892554,32,0,-45.995086669921875,-52.82982635498047,6.56467866897583,0.0,2.6597827676837853,32
-0.0032075962517410517,-15.493082046508789,142.82342529296875,0,3.2075960636138916,0.11425834570239277,2.2452350361057576,32,0,-32.53443145751953,-61.389591217041016,16.164907455444336,0.0,2.2420274398540165,32
-0.0022908190730959177,-44.61503601074219,143.37620544433594,0,2.290818929672241,0.20553091480802094,1.740995237071962,32,0,-54.69916915893555,-66.77694702148438,9.378921508789062,0.0,1.738704417998866,32
-0.0015910674119368196,-13.385965347290039,144.12026977539062,4,1.5910673141479492,0.46016479648658093,0.9724692996428076,16032,500,-52.5988655090332,-76.47000885009766,21.097307205200195,0.0,0.9708782322308708,32
-0.001511340495198965,-46.04319763183594,144.2760467529297,0,1.5113403797149658,0.3881336571927999,1.1841307486192054,32,0,-65.22657775878906,-77.2073745727539,10.334772109985352,0.0,1.1826194081240065,32
-0.001038986723870039,-10.447165489196777,145.12786865234375,3,1.0389866828918457,0.6100414700703369,0.7352280222970867,16032,500,-39.30432891845703,-73.58441162109375,22.515560150146484,0.0,0.7341890355732167,32
-0.0008374682511202991,24.08819580078125,145.53033447265625,0,0.8374682068824768,0.9451896202587936,0.22913251723638067,32,0,-29.104267120361328,-123.68330383300781,50.48106384277344,0.0,0.22829504898526037,32
-0.0003595747402869165,1.214247703552246,146.70848083496094,3,0.35957473516464233,1.5404334252534722,-0.299736542485766,16032,500,-30.25668716430664,-82.50367736816406,31.655305862426758,0.0,-0.3000961172260529,32
-2.7595640858635306e-05,50.53886413574219,147.7352294921875,0,0.0275956392288208,1.9134444122614078,-0.449410770104191,32,0,-23.469165802001953,-115.428955078125,63.38551330566406,0.0,-0.44943836574504964,32
0.0004446636012289673,39.45690155029297,149.20582580566406,2,-0.4446635842323303,2.8448961819260363,-0.913203604871933,16032,500,-5.0033135414123535,-79.22439575195312,39.75288391113281,0.0,-0.912758941270704,32
0.0009226276306435466,42.30878448486328,150.98379516601562,0,-0.9226275682449341,5.108063448923135,-1.4774225008423814,32,0,5.922389030456543,-20.962448120117188,21.885963439941406,0.0,-1.4764998732117378,32
0.001405328861437738,14.286354064941406,153.01138305664062,2,-1.4053287506103516,8.584208723525132,-2.0397769125110736,16032,500,-63.11870193481445,-163.61581420898438,67.96428680419922,0.0,-2.038371583649636,32
0.0019113923190161586,-56.6561393737793,155.26663208007812,4,-1.9113922119140625,12.961406412688449,-2.4263114503477192,32032,1000,-92.76534271240234,-154.08615112304688,32.97446823120117,0.0,-2.424400058028703,32
0.0020410604774951935,14.187845230102539,155.9470672607422,0,-2.041060447692871,14.58208260268148,-2.558536896711474,32,0,-50.59577560424805,-79.56988525390625,33.10282516479492,0.0,-2.556495836233979,32
0.0025335662066936493,-27.295684814453125,157.8094482421875,1,-2.5335659980773926,24.352820556264067,-2.9575581581462407,16032,500,-83.65174865722656,-154.02197265625,45.6281852722168,0.0,-2.955024591939547,32
0.003026958554983139,-23.414108276367188,160.68812561035156,3,-3.026958465576172,46.73869881794126,-3.7307861683150105,32032,1000,-59.88334274291992,-104.9682388305664,30.017173767089844,0.0,-3.7277592097600274,32
0.003318477887660265,80.77046203613281,162.18223571777344,0,-3.3184776306152344,49.11641866876665,-3.670707930484182,32,0,-6.293447971343994,-117.93504333496094,74.74943542480469,0.0,-3.6673894525965216,32
0.00362011999823153,1.6401476860046387,164.0430908203125,1,-3.62011981010437,70.02745714763988,-4.043674330569116,16032,500,-81.74348449707031,-154.43313598632812,49.83259201049805,0.0,-4.040054210570885,32
0.003953234292566776,26.245744705200195,166.18150329589844,3,-3.9532341957092285,102.4204855141403,-4.455393601759942,32032,1000,-47.91333770751953,-103.0274887084961,60.459556579589844,0.0,-4.4514403674673755,32
0.004260235000401735,-59.22753143310547,168.4697723388672,0,-4.260234832763672,160.52586292695045,-4.896203420878837,32,0,-83.33360290527344,-129.15457153320312,25.56759262084961,0.0,-4.891943185878436,32
0.004638226702809334,72.10810852050781,171.24270629882812,1,-4.638226509094238,201.72173552227633,-5.142416471765399,16032,500,-63.21891403198242,-152.1025848388672,73.741455078125,0.0,-5.13777824506259,32
0.004614931996911764,51.75238800048828,171.0475616455078,3,-4.614931583404541,180.55528952324897,-5.040973050059251,32032,1000,-66.68939208984375,-169.52926635742188,74.09358978271484,0.0,-5.036358118062339,32
0.004638195037841797,13.879981994628906,171.28915405273438,4,-4.638195037841797,217.15180908879032,-5.204344950132073,48032,1500,-51.5400505065918,-88.42862701416016,35.2756233215332,0.0,-5.1997067550942315,32
0.004646209999918938,-33.797698974609375,171.31912231445312,0,-4.646209716796875,198.2324860538524,-5.110769051536636,32,0,-74.9477767944336,-129.2843475341797,35.36396408081055,0.0,-5.106122841536717,32
0.004687626380473375,48.86840057373047,171.64720153808594,1,-4.687626361846924,205.8420301099007,-5.181060796174451,16032,500,-52.861305236816406,-137.65817260742188,67.23031616210938,0.0,-5.176373169793978,32
