bc/entropy,bc/epoch,bc/batch,bc/prob_true_act,bc/l2_norm,bc/samples_so_far,bc/loss,bc/ent_loss,bc/neglogp,bc/l2_loss,batch_size
4.256815433502197,0,0,0.05182288959622383,672.5001220703125,32,2.990400552749634,-0.004256815649569035,2.994657278060913,0.0,32
2.7376716136932373,3,500,0.2606241703033447,889.7108154296875,16032,1.358580470085144,-0.00273767183534801,1.3613181114196777,0.0,32
1.3061881065368652,7,1000,0.9725348949432373,1149.81103515625,32032,0.1245192289352417,-0.0013061881763860583,0.1258254200220108,0.0,32
-0.02236044406890869,10,1500,3.7684617042541504,1436.620849609375,48032,-1.2929774522781372,2.236044565506745e-05,-1.2929998636245728,0.0,32
-1.229744791984558,14,2000,11.27021598815918,1719.3045654296875,64032,-2.3761258125305176,0.0012297448702156544,-2.3773555755615234,0.0,32
-2.2981064319610596,17,2500,28.574874877929688,1964.5911865234375,80032,-3.05539870262146,0.00229810643941164,-3.05769681930542,0.0,32
-3.233553409576416,21,3000,74.8089599609375,2183.28369140625,96032,-4.097581386566162,0.003233553608879447,-4.1008148193359375,0.0,32
-4.038136005401611,25,3500,145.3651580810547,2367.4248046875,112032,-4.746351718902588,0.00403813598677516,-4.75039005279541,0.0,32
-4.837728500366211,28,4000,252.90469360351562,2520.2421875,128032,-4.6943864822387695,0.004837728571146727,-4.69922399520874,0.0,32
-5.4693169593811035,32,4500,510.2439880371094,2665.862548828125,144032,-5.626158714294434,0.005469317082315683,-5.631628036499023,0.0,32
-6.109508991241455,35,5000,974.5635986328125,2786.0986328125,160032,-6.672609806060791,0.006109509151428938,-6.678719520568848,0.0,32
-6.654502868652344,39,5500,1767.595947265625,2894.73779296875,176032,-7.122882843017578,0.0066545032896101475,-7.129537582397461,0.0,32
-6.984847068786621,43,6000,3146.7431640625,3002.4501953125,192032,-7.765726089477539,0.0069848475977778435,-7.772710800170898,0.0,32
-7.289919853210449,46,6500,3359.0712890625,3091.66259765625,208032,-7.259459972381592,0.007289920002222061,-7.266749858856201,0.0,32
