bc/entropy,bc/epoch,bc/neglogp,bc/loss,bc/l2_loss,bc/samples_so_far,bc/prob_true_act,batch_size,bc/ent_loss,bc/batch,bc/l2_norm
4.256815433502197,0,2.9725265502929688,2.9682698249816895,0.0,32,0.05240209400653839,32,-0.004256815649569035,0,128.50015258789062
2.8810038566589355,0,1.811396598815918,1.8085155487060547,0.0,16032,0.1737964153289795,32,-0.002881004009395838,500,142.6172332763672
1.881191372871399,1,1.0812933444976807,1.0794121026992798,0.0,32032,0.38104599714279175,32,-0.0018811915069818497,1000,143.32513427734375
1.1715428829193115,2,0.7506873607635498,0.7495158314704895,0.0,48032,0.6764647364616394,32,-0.0011715429136529565,1500,144.13040161132812
0.6115930676460266,3,0.1816452443599701,0.181033656001091,0.0,64032,1.226886510848999,32,-0.0006115930736996233,2000,145.1293182373047
0.09391731023788452,4,-0.5431200861930847,-0.5432140231132507,0.0,80032,2.391144275665283,32,-9.39173114602454e-05,2500,146.2297821044922
-0.4037494659423828,5,-0.5492496490478516,-0.5488458871841431,0.0,96032,2.9548721313476562,32,0.000403749494580552,3000,147.69265747070312
-0.8996469974517822,6,-1.4721628427505493,-1.4712631702423096,0.0,112032,6.023832321166992,32,0.000899647013284266,3500,149.28529357910156
-1.3859827518463135,7,-1.9155449867248535,-1.9141590595245361,0.0,128032,9.797961235046387,32,0.001385982846841216,4000,151.15403747558594
-1.8965890407562256,8,-2.754336357116699,-2.7524397373199463,0.0,144032,19.284910202026367,32,0.0018965891795232892,4500,153.27993774414062
-2.3954362869262695,9,-2.7803516387939453,-2.777956247329712,0.0,160032,23.816631317138672,32,0.0023954364005476236,5000,155.6185760498047
-2.888270854949951,10,-3.449850082397461,-3.4469618797302246,0.0,176032,42.46308135986328,32,0.0028882708866149187,5500,158.16531372070312
-3.3791284561157227,11,-3.69431209564209,-3.6909329891204834,0.0,192032,67.14149475097656,32,0.0033791286405175924,6000,160.63482666015625
-3.8791956901550293,11,-4.45252799987793,-4.448648929595947,0.0,208032,116.80519104003906,32,0.0038791957776993513,6500,163.75244140625
-4.375861644744873,12,-4.628170967102051,-4.623795032501221,0.0,224032,184.58505249023438,32,0.004375861957669258,7000,167.03057861328125
-4.45301628112793,13,-4.750175476074219,-4.74572229385376,0.0,240032,175.59237670898438,32,0.004453016445040703,7500,167.40267944335938
-4.478542327880859,14,-4.858725547790527,-4.854247093200684,0.0,256032,192.004638671875,32,0.004478542599827051,8000,167.67384338378906
-4.533292293548584,15,-5.044571399688721,-5.040038108825684,0.0,272032,215.93373107910156,32,0.004533292725682259,8500,168.03692626953125
-4.5889201164245605,16,-5.116515159606934,-5.111926078796387,0.0,288032,216.36746215820312,32,0.004588920157402754,9000,168.49806213378906
-4.672153949737549,17,-5.298558235168457,-5.293886184692383,0.0,304032,258.0657653808594,32,0.004672154318541288,9500,169.0972137451172
-4.799137115478516,18,-5.525454521179199,-5.520655155181885,0.0,320032,302.6022644042969,32,0.004799137357622385,10000,169.88731384277344
-4.933072566986084,19,-5.292325973510742,-5.287393093109131,0.0,336032,275.784912109375,32,0.004933072719722986,10500,170.88894653320312
-5.090118885040283,20,-5.7314300537109375,-5.726339817047119,0.0,352032,387.58038330078125,32,0.005090119317173958,11000,172.14056396484375
-5.280418395996094,21,-5.58596134185791,-5.580680847167969,0.0,368032,391.6041259765625,32,0.005280418787151575,11500,173.67706298828125
-5.507674694061279,22,-5.966472148895264,-5.960964679718018,0.0,384032,631.26220703125,32,0.005507674999535084,12000,175.5269775390625
-5.6106462478637695,22,-6.278592586517334,-6.272982120513916,0.0,400032,739.9697265625,32,0.005610646679997444,12500,176.30032348632812
-5.634199619293213,23,-6.147281646728516,-6.1416473388671875,0.0,416032,575.4964599609375,32,0.00563419982790947,13000,176.4423370361328
-5.637392520904541,24,-6.138437271118164,-6.132800102233887,0.0,432032,649.500244140625,32,0.005637392867356539,13500,176.5907440185547
-5.671753883361816,25,-5.8319902420043945,-5.826318264007568,0.0,448032,566.2031860351562,32,0.005671754013746977,14000,176.80160522460938
-5.700225353240967,26,-6.194403171539307,-6.1887030601501465,0.0,464032,629.771484375,32,0.005700225476175547,14500,177.06443786621094
