bc/l2_loss,bc/l2_norm,bc/neglogp,bc/prob_true_act,bc/samples_so_far,bc/ent_loss,bc/loss,bc/batch,bc/entropy,bc/epoch,batch_size
0.0,672.500244140625,1.613486886024475,0.19919200241565704,32,-0.001609423547051847,1.61187744140625,0,1.6094235181808472,0,32
0.0,907.0171508789062,0.4052289128303528,0.7675594091415405,16032,-0.0003950079844798893,0.40483391284942627,500,0.3950079679489136,0,32
0.0,1067.5609130859375,0.48724061250686646,0.7865138053894043,32032,-0.00036885723238810897,0.48687174916267395,1000,0.368857204914093,1,32
0.0,1275.083251953125,0.47222211956977844,0.8349747657775879,48032,-0.00023978069657459855,0.47198233008384705,1500,0.23978067934513092,1,32
0.0,1456.1075439453125,0.26648449897766113,0.8267374038696289,64032,-0.000354984134901315,0.2661295235157013,2000,0.3549841046333313,2,32
0.0,1618.4697265625,0.3460004925727844,0.827972412109375,80032,-0.0002347880945308134,0.34576570987701416,2500,0.23478808999061584,2,32
0.0,1780.71484375,0.21725478768348694,0.857277512550354,96032,-0.0002655752468854189,0.21698921918869019,3000,0.26557523012161255,3,32
0.0,1969.735595703125,0.18214187026023865,0.8886986374855042,112032,-0.00021131339599378407,0.1819305568933487,3500,0.2113133817911148,4,32
0.0,2156.3076171875,0.1826258897781372,0.8844584226608276,128032,-0.00021801350521855056,0.18240787088871002,4000,0.21801349520683289,4,32
0.0,2340.580810546875,0.06167050451040268,0.9459201097488403,144032,-0.0001693703088676557,0.06150113418698311,4500,0.16937029361724854,5,32
0.0,2537.085693359375,0.1381596326828003,0.9005603194236755,160032,-0.00019318261183798313,0.13796645402908325,5000,0.19318260252475739,5,32
0.0,2747.037109375,0.3150970935821533,0.8433005213737488,176032,-0.00023345628869719803,0.3148636519908905,5500,0.23345628380775452,6,32
0.0,2968.85595703125,0.1910271793603897,0.8945686221122742,192032,-0.0002238697197753936,0.19080330431461334,6000,0.2238697111606598,7,32
0.0,3190.547607421875,0.15846429765224457,0.9020928144454956,208032,-0.00017703209596220404,0.15828727185726166,6500,0.17703208327293396,7,32
0.0,3407.550537109375,0.08090661466121674,0.935390293598175,224032,-0.0001515146577730775,0.08075509965419769,7000,0.15151464939117432,8,32
0.0,3596.21533203125,0.1598377525806427,0.9001355171203613,240032,-0.00012716786295641214,0.1597105860710144,7500,0.12716785073280334,8,32
0.0,3810.0556640625,0.22390469908714294,0.9054479002952576,256032,-9.613590373191983e-05,0.22380855679512024,8000,0.09613589942455292,9,32
0.0,4007.846923828125,0.026040740311145782,0.9768404364585876,272032,-6.522408511955291e-05,0.025975516065955162,8500,0.06522408127784729,10,32
0.0,4199.236328125,0.14998170733451843,0.9074851274490356,288032,-0.00016027801029849797,0.1498214304447174,9000,0.16027800738811493,10,32
0.0,4418.20361328125,0.0747857615351677,0.9553210735321045,304032,-7.370207458734512e-05,0.07471206039190292,9500,0.07370207458734512,11,32
0.0,4639.91064453125,0.012687048874795437,0.9881251454353333,320032,-4.6118595491861925e-05,0.012640930712223053,10000,0.0461185947060585,11,32
0.0,4856.0458984375,0.003061998635530472,0.9970164895057678,336032,-1.351984519715188e-05,0.0030484788585454226,10500,0.013519844971597195,12,32
0.0,5055.83837890625,0.11965758353471756,0.9441764950752258,352032,-7.390019163722172e-05,0.11958368122577667,11000,0.07390018552541733,12,32
0.0,5265.46728515625,0.11839129030704498,0.9471660256385803,368032,-6.600274355150759e-05,0.11832528561353683,11500,0.0660027414560318,13,32
0.0,5439.4248046875,0.022093843668699265,0.9809925556182861,384032,-4.865884693572298e-05,0.022045183926820755,12000,0.04865884408354759,14,32
0.0,5616.06787109375,0.014666251838207245,0.9860357642173767,400032,-5.16990439791698e-05,0.014614553190767765,12500,0.051699042320251465,14,32
0.0,5801.70068359375,0.11973550915718079,0.9462745189666748,416032,-6.67982385493815e-05,0.11966870725154877,13000,0.06679823249578476,15,32
0.0,6007.51611328125,0.03056807443499565,0.9743216037750244,432032,-6.316910730674863e-05,0.030504904687404633,13500,0.06316910684108734,15,32
0.0,6178.33837890625,0.024310000240802765,0.9803150296211243,448032,-4.558540240395814e-05,0.024264415726065636,14000,0.045585401356220245,16,32
0.0,6391.9912109375,0.002212703227996826,0.9978169798851013,464032,-1.049728598445654e-05,0.002202205825597048,14500,0.010497285053133965,17,32
0.0,6563.9501953125,0.0065004900097846985,0.9938870072364807,480032,-2.2442423869506456e-05,0.006478047464042902,15000,0.022442422807216644,17,32
0.0,6743.67333984375,0.01580088585615158,0.9859485626220703,496032,-4.017025275970809e-05,0.015760716050863266,15500,0.040170252323150635,18,32
0.0,6926.58642578125,0.06321731954813004,0.9647269248962402,512032,-4.059127240907401e-05,0.063176728785038,16000,0.040591269731521606,18,32
0.0,7117.5322265625,0.08111326396465302,0.9540113806724548,528032,-5.221329047344625e-05,0.08106105029582977,16500,0.052213288843631744,19,32
0.0,7317.578125,0.006690569221973419,0.9939203262329102,544032,-1.7298039892921224e-05,0.006673271302133799,17000,0.01729803904891014,20,32
0.0,7487.54345703125,0.0010115355253219604,0.998991847038269,560032,-6.356832727760775e-06,0.0010051786666736007,17500,0.006356832571327686,20,32
0.0,7664.87939453125,0.03743727132678032,0.9676229953765869,576032,-8.050342876231298e-05,0.03735676780343056,18000,0.0805034264922142,21,32
0.0,7853.677734375,0.004697706550359726,0.9954688549041748,592032,-1.81592859007651e-05,0.004679547157138586,18500,0.018159285187721252,21,32
0.0,7991.40869140625,0.12481718510389328,0.9666147232055664,608032,-1.6648702512611635e-05,0.12480053305625916,19000,0.016648702323436737,22,32
0.0,8199.826171875,0.02167934738099575,0.9821797609329224,624032,-4.4135205826023594e-05,0.021635212004184723,19500,0.0441352054476738,22,32
0.0,8395.076171875,0.04906264692544937,0.9689456820487976,640032,-4.682158032665029e-05,0.049015823751688004,20000,0.046821579337120056,23,32
0.0,8570.626953125,0.14209730923175812,0.9627742171287537,656032,-2.6953219276038e-05,0.14207035303115845,20500,0.02695321850478649,24,32
0.0,8760.88671875,0.10514618456363678,0.9550857543945312,672032,-5.9308320487616584e-05,0.10508687794208527,21000,0.05930831655859947,24,32
0.0,8941.6904296875,0.0046750763431191444,0.9955954551696777,688032,-1.5430659914272837e-05,0.004659645725041628,21500,0.015430659987032413,25,32
