bc/prob_true_act,bc/l2_loss,batch_size,bc/l2_norm,bc/loss,bc/samples_so_far,bc/epoch,bc/neglogp,bc/entropy,bc/batch,bc/ent_loss
0.05114586278796196,0.0,32,672.5001220703125,2.9950900077819824,32,0,2.9993467330932617,4.256815433502197,0,-0.004256815649569035
0.24328815937042236,0.0,32,880.90869140625,1.4266064167022705,16032,1,1.4293510913848877,2.744673490524292,500,-0.0027446735184639692
0.9745080471038818,0.0,32,1088.117919921875,0.06514532119035721,32032,3,0.06648637354373932,1.3410489559173584,1000,-0.0013410489773377776
2.7462868690490723,0.0,32,1324.6356201171875,-0.7533702850341797,48032,5,-0.7532782554626465,0.09202992916107178,1500,-9.202993533108383e-05
8.787216186523438,0.0,32,1546.9783935546875,-2.077343225479126,64032,7,-2.078327178955078,-0.983965277671814,2000,0.0009839653503149748
18.56534194946289,0.0,32,1757.5150146484375,-2.4073336124420166,80032,9,-2.409289598464966,-1.95600426197052,2500,0.0019560044165700674
46.47674560546875,0.0,32,1956.0572509765625,-3.719252109527588,96032,10,-3.721968650817871,-2.7166147232055664,3000,0.0027166148647665977
123.87065124511719,0.0,32,2110.539306640625,-4.732288360595703,112032,12,-4.735821723937988,-3.5332746505737305,3500,0.0035332748666405678
185.74807739257812,0.0,32,2259.58740234375,-5.084177494049072,128032,14,-5.088364601135254,-4.187263011932373,4000,0.004187263082712889
319.4021911621094,0.0,32,2380.70068359375,-5.064794540405273,144032,16,-5.069642066955566,-4.847393989562988,4500,0.004847394302487373
584.366455078125,0.0,32,2497.527587890625,-6.116872310638428,160032,18,-6.122295379638672,-5.423209190368652,5000,0.0054232096299529076
835.2181396484375,0.0,32,2611.209716796875,-6.316868305206299,176032,20,-6.322767734527588,-5.899474143981934,5500,0.005899474490433931
1852.51513671875,0.0,32,2699.76171875,-7.09114933013916,192032,21,-7.097577095031738,-6.427898406982422,6000,0.006427898537367582
1934.651611328125,0.0,32,2782.493896484375,-6.99935245513916,208032,23,-7.00609016418457,-6.737881183624268,6500,0.00673788134008646
2795.4736328125,0.0,32,2855.421142578125,-6.999056339263916,224032,25,-7.006218910217285,-7.162460803985596,7000,0.007162461057305336
3077.263671875,0.0,32,2925.03515625,-6.976906776428223,240032,27,-6.984333038330078,-7.426288604736328,7500,0.007426288910210133
4210.6572265625,0.0,32,2986.7734375,-7.67181396484375,256032,29,-7.679523944854736,-7.709909915924072,8000,0.007709910161793232
3749.6103515625,0.0,32,3042.436767578125,-6.719818115234375,272032,31,-6.727572441101074,-7.754114627838135,8500,0.007754114922136068
8800.580078125,0.0,32,3090.9638671875,-8.758332252502441,288032,32,-8.766538619995117,-8.206581115722656,9000,0.008206581696867943
8075.130859375,0.0,32,3143.085693359375,-7.980416774749756,304032,34,-7.988568305969238,-8.15162467956543,9500,0.008151625283062458
10946.76171875,0.0,32,3189.66455078125,-8.930816650390625,320032,36,-8.938996315002441,-8.180098533630371,10000,0.008180098608136177
10045.703125,0.0,32,3233.086669921875,-8.644545555114746,336032,38,-8.652935028076172,-8.389305114746094,10500,0.00838930532336235
16695.66796875,0.0,32,3270.155029296875,-9.436798095703125,352032,40,-9.44540786743164,-8.609843254089355,11000,0.00860984344035387
12179.724609375,0.0,32,3310.108642578125,-8.629411697387695,368032,41,-8.638070106506348,-8.658403396606445,11500,0.008658403530716896
10155.9296875,0.0,32,3344.6220703125,-7.991705417633057,384032,43,-8.000551223754883,-8.845671653747559,12000,0.008845672011375427
18974.921875,0.0,32,3378.726318359375,-9.664800643920898,400032,45,-9.673530578613281,-8.729592323303223,12500,0.008729592896997929
13958.73828125,0.0,32,3412.545166015625,-8.88825511932373,416032,47,-8.89719009399414,-8.935057640075684,13000,0.008935058489441872
5476.06982421875,0.0,32,3465.876220703125,-6.632014274597168,432032,49,-6.640219211578369,-8.204981803894043,13500,0.008204982616007328
