batch_size,bc/l2_loss,bc/loss,bc/epoch,bc/l2_norm,bc/neglogp,bc/samples_so_far,bc/entropy,bc/ent_loss,bc/prob_true_act,bc/batch
32,0.0,2.998152256011963,0,672.5001220703125,3.002408981323242,32,4.256815433502197,-0.004256815649569035,0.050864219665527344,0
32,0.0,1.502623438835144,0,864.2130737304688,1.5053714513778687,16032,2.748032569885254,-0.0027480327989906073,0.23628507554531097,500
32,0.0,0.2119525521993637,0,1075.889892578125,0.213324636220932,32032,1.3720903396606445,-0.0013720904244109988,0.8631407022476196,1000
32,0.0,-0.8053939342498779,1,1263.1322021484375,-0.8052041530609131,48032,0.18980276584625244,-0.00018980276945512742,2.605494737625122,1500
32,0.0,-1.7785964012145996,1,1437.452880859375,-1.7793560028076172,64032,-0.7596116065979004,0.0007596116629429162,6.877438068389893,2000
32,0.0,-2.4085144996643066,2,1613.1651611328125,-2.410102605819702,80032,-1.5880777835845947,0.0015880778664723039,14.161603927612305,2500
32,0.0,-1.9044477939605713,2,1754.4801025390625,-1.9066636562347412,96032,-2.2158079147338867,0.0022158080246299505,19.07756805419922,3000
32,0.0,-3.7038352489471436,3,1881.638427734375,-3.706688404083252,112032,-2.8531494140625,0.0028531495481729507,53.24803924560547,3500
32,0.0,-4.243748188018799,3,1990.8223876953125,-4.2471747398376465,128032,-3.4264984130859375,0.0034264985006302595,89.9797592163086,4000
32,0.0,-4.7935357093811035,4,2083.154052734375,-4.79755973815918,144032,-4.023899078369141,0.0040238993242383,161.127197265625,4500
32,0.0,-4.156670570373535,4,2177.56591796875,-4.161192417144775,160032,-4.521846771240234,0.004521846771240234,209.875,5000
32,0.0,-5.383731365203857,5,2257.87353515625,-5.388731002807617,176032,-4.999641418457031,0.004999641794711351,405.73883056640625,5500
32,0.0,-5.640823841094971,5,2338.20703125,-5.646237373352051,192032,-5.413696765899658,0.005413697101175785,507.8940734863281,6000
32,0.0,-5.907783031463623,6,2403.9716796875,-5.913551330566406,208032,-5.7684006690979,0.0057684010826051235,628.809326171875,6500
32,0.0,-6.31516170501709,6,2473.58935546875,-6.321252822875977,224032,-6.091267108917236,0.0060912673361599445,915.066162109375,7000
32,0.0,-6.500251293182373,7,2527.2783203125,-6.506537437438965,240032,-6.286216735839844,0.006286216899752617,1330.21875,7500
32,0.0,-7.231327533721924,7,2575.09375,-7.237985610961914,256032,-6.658038139343262,0.006658038590103388,2184.57080078125,8000
32,0.0,-7.27726936340332,7,2618.2998046875,-7.2840256690979,272032,-6.7564167976379395,0.006756416987627745,2051.836181640625,8500
32,0.0,-7.788473606109619,8,2649.3994140625,-7.79551887512207,288032,-7.04524564743042,0.007045246195048094,3421.587646484375,9000
32,0.0,-6.4480414390563965,8,2680.650634765625,-6.455296516418457,304032,-7.2552900314331055,0.0072552901692688465,2700.94580078125,9500
32,0.0,-7.934228897094727,9,2708.20654296875,-7.94167947769165,320032,-7.450597763061523,0.007450598292052746,4176.89501953125,10000
32,0.0,-8.076581954956055,9,2734.3828125,-8.084179878234863,336032,-7.59832239151001,0.007598322816193104,4914.998046875,10500
32,0.0,-8.538806915283203,10,2758.81396484375,-8.546539306640625,352032,-7.732326984405518,0.007732327561825514,6450.4794921875,11000
32,0.0,-7.7770185470581055,10,2779.996826171875,-7.784963607788086,368032,-7.944850921630859,0.00794485118240118,5980.95361328125,11500
32,0.0,-6.865870952606201,11,2798.048828125,-6.873954772949219,384032,-8.08374309539795,0.008083743043243885,4698.6357421875,12000
