bc/epoch,bc/entropy,bc/prob_true_act,bc/l2_loss,bc/samples_so_far,bc/ent_loss,bc/batch,bc/loss,bc/l2_norm,batch_size,bc/neglogp
15,-7.185521125793457,3083.13330078125,0.0,272032,0.00718552153557539,8500,-7.699810981750488,3253.740478515625,32,-7.706996440887451
16,-7.543967247009277,4697.841796875,0.0,288032,0.007543967571109533,9000,-7.993589878082275,3303.698974609375,32,-8.001133918762207
17,-6.911240100860596,2558.599853515625,0.0,304032,0.006911240518093109,9500,-7.359838962554932,3369.771728515625,32,-7.366750240325928
18,-7.051117420196533,3318.49072265625,0.0,320032,0.007051117718219757,10000,-7.70604133605957,3399.2109375,32,-7.71309232711792
19,-7.260680198669434,3380.417236328125,0.0,336032,0.007260680664330721,10500,-7.392277240753174,3429.125244140625,32,-7.399538040161133
20,-7.4448981285095215,4456.37255859375,0.0,352032,0.007444898597896099,11000,-7.965331554412842,3458.68701171875,32,-7.972776412963867
21,-7.595725059509277,4773.6943359375,0.0,368032,0.007595725357532501,11500,-8.005522727966309,3493.64990234375,32,-8.013118743896484
22,-7.730154991149902,5694.12109375,0.0,384032,0.007730155251920223,12000,-8.208882331848145,3523.38427734375,32,-8.216612815856934
22,-7.907568454742432,5702.2333984375,0.0,400032,0.007907568477094173,12500,-8.238397598266602,3555.367919921875,32,-8.246305465698242
23,-7.965305805206299,7145.80126953125,0.0,416032,0.00796530582010746,13000,-6.950121879577637,3584.6455078125,32,-6.958086967468262
24,-8.082334518432617,8435.2724609375,0.0,432032,0.008082334883511066,13500,-8.746929168701172,3614.89501953125,32,-8.755011558532715
25,-8.248472213745117,11326.748046875,0.0,448032,0.008248472586274147,14000,-9.094440460205078,3643.50390625,32,-9.102688789367676
26,-8.335060119628906,12089.6015625,0.0,464032,0.008335060440003872,14500,-9.048006057739258,3669.05810546875,32,-9.056341171264648
27,-8.211535453796387,9295.869140625,0.0,480032,0.008211535401642323,15000,-7.932228088378906,3695.345703125,32,-7.940439701080322
28,-8.406543731689453,8806.041015625,0.0,496032,0.008406544104218483,15500,-8.788818359375,3716.984619140625,32,-8.797224998474121
29,-8.604114532470703,8138.076171875,0.0,512032,0.00860411487519741,16000,-8.297204971313477,3737.442626953125,32,-8.305809020996094
30,-8.563628196716309,12572.529296875,0.0,528032,0.008563628420233727,16500,-9.058528900146484,3762.55859375,32,-9.067092895507812
31,-8.202926635742188,9104.35546875,0.0,544032,0.008202927187085152,17000,-8.702885627746582,3785.58935546875,32,-8.711088180541992
32,-8.454560279846191,8741.248046875,0.0,560032,0.008454560302197933,17500,-7.73586368560791,3801.132080078125,32,-7.744318008422852
33,-8.757680892944336,18216.21875,0.0,576032,0.008757681585848331,18000,-9.644253730773926,3818.708251953125,32,-9.653011322021484
33,-8.781685829162598,16011.28515625,0.0,592032,0.008781686425209045,18500,-9.144062042236328,3837.950439453125,32,-9.152843475341797
34,-9.030418395996094,20789.767578125,0.0,608032,0.0090304184705019,19000,-9.291866302490234,3853.2080078125,32,-9.300896644592285
35,-8.974166870117188,22969.52734375,0.0,624032,0.0089741675183177,19500,-9.65496826171875,3871.377197265625,32,-9.663942337036133
36,-9.074699401855469,21114.70703125,0.0,640032,0.009074700064957142,20000,-9.255632400512695,3890.059814453125,32,-9.264707565307617
37,-9.106063842773438,27079.9921875,0.0,656032,0.009106064215302467,20500,-9.958599090576172,3907.1796875,32,-9.967704772949219
38,-9.369802474975586,33386.6953125,0.0,672032,0.0093698026612401,21000,-9.976883888244629,3923.2197265625,32,-9.98625373840332
39,-9.33578872680664,26383.75,0.0,688032,0.009335788898169994,21500,-9.689949989318848,3938.31884765625,32,-9.699285507202148
40,-9.35519790649414,31901.599609375,0.0,704032,0.009355198591947556,22000,-10.062246322631836,3953.15185546875,32,-10.071601867675781
41,-9.341623306274414,14719.6220703125,0.0,720032,0.00934162363409996,22500,-8.672873497009277,3969.096923828125,32,-8.682214736938477
42,-9.484041213989258,33270.2109375,0.0,736032,0.00948404148221016,23000,-9.720881462097168,3984.364013671875,32,-9.730365753173828
43,-9.458176612854004,32327.31640625,0.0,752032,0.009458176791667938,23500,-9.927226066589355,3997.53076171875,32,-9.936684608459473
44,-9.589925765991211,46035.6640625,0.0,768032,0.009589926339685917,24000,-10.606231689453125,4011.696044921875,32,-10.615821838378906
44,-9.166169166564941,27739.31640625,0.0,784032,0.009166169911623001,24500,-9.99472427368164,4027.829345703125,32,-10.003890037536621
45,-8.707344055175781,17013.140625,0.0,800032,0.00870734453201294,25000,-9.246553421020508,4045.60546875,32,-9.255260467529297
46,-9.086153984069824,24103.08203125,0.0,816032,0.009086154401302338,25500,-9.893126487731934,4050.971923828125,32,-9.902213096618652
47,-9.368843078613281,30448.888671875,0.0,832032,0.009368843398988247,26000,-9.92917537689209,4060.096923828125,32,-9.938544273376465
48,-9.474352836608887,36455.140625,0.0,848032,0.009474352933466434,26500,-9.905669212341309,4072.783447265625,32,-9.915143966674805
49,-9.630220413208008,40207.4453125,0.0,864032,0.00963022094219923,27000,-10.088407516479492,4084.9755859375,32,-10.098037719726562
