bc/loss,bc/prob_true_act,bc/epoch,bc/entropy,bc/l2_loss,batch_size,bc/l2_norm,bc/neglogp,bc/batch,bc/ent_loss,bc/samples_so_far
1.6117866039276123,0.1992105096578598,0,1.6094238758087158,0.0,32,672.500244140625,1.6133960485458374,0,-0.0016094238962978125,32
0.3848528265953064,0.8076229691505432,0,0.29021668434143066,0.0,32,901.6611938476562,0.3851430416107178,500,-0.00029021670343354344,16032
0.4872698187828064,0.7243996858596802,1,0.4408307671546936,0.0,32,1070.4542236328125,0.4877106547355652,1000,-0.0004408308013807982,32032
0.15687763690948486,0.8802142143249512,2,0.274244099855423,0.0,32,1271.2252197265625,0.15715187788009644,1500,-0.0002742441138252616,48032
0.17677390575408936,0.8983458280563354,3,0.17351703345775604,0.0,32,1449.0008544921875,0.1769474297761917,2000,-0.00017351703718304634,64032
0.04086359590291977,0.9634910821914673,4,0.11090215295553207,0.0,32,1643.576904296875,0.04097449779510498,2500,-0.0001109021613956429,80032
0.28240764141082764,0.8721048831939697,5,0.18174146115779877,0.0,32,1850.4698486328125,0.2825893759727478,3000,-0.0001817414740798995,96032
0.16830182075500488,0.8990755081176758,6,0.16302844882011414,0.0,32,2002.91455078125,0.16846485435962677,3500,-0.00016302845324389637,112032
0.24669092893600464,0.853179931640625,6,0.2554181218147278,0.0,32,2176.199951171875,0.24694634974002838,4000,-0.00025541812647134066,128032
0.13272222876548767,0.9243735074996948,7,0.09940072894096375,0.0,32,2356.97216796875,0.13282163441181183,4500,-9.940073505276814e-05,144032
0.024899661540985107,0.9764562845230103,8,0.08540976047515869,0.0,32,2542.98779296875,0.024985071271657944,5000,-8.540976705262437e-05,160032
0.11413794755935669,0.9454875588417053,9,0.10752552002668381,0.0,32,2754.248046875,0.1142454743385315,5500,-0.00010752552771009505,176032
0.10507528483867645,0.9226516485214233,10,0.14797183871269226,0.0,32,2938.760986328125,0.10522325336933136,6000,-0.0001479718484915793,192032
0.201125368475914,0.9212438464164734,11,0.12151992321014404,0.0,32,3135.817626953125,0.20124688744544983,6500,-0.00012151992996223271,208032
0.07466509938240051,0.9474004507064819,12,0.10877607762813568,0.0,32,3351.918212890625,0.0747738778591156,7000,-0.00010877608292503282,224032
0.21632102131843567,0.8574212789535522,12,0.23446178436279297,0.0,32,3535.4482421875,0.21655547618865967,7500,-0.00023446179693564773,240032
0.04294775798916817,0.9639427661895752,13,0.09392736852169037,0.0,32,3734.26953125,0.04304168373346329,8000,-9.392737410962582e-05,256032
0.055393707007169724,0.9502004384994507,14,0.1346963495016098,0.0,32,3938.654296875,0.05552840232849121,8500,-0.00013469635450746864,272032
0.02497042343020439,0.9773287773132324,15,0.07120905816555023,0.0,32,4112.92431640625,0.02504163235425949,9000,-7.120906229829416e-05,288032
0.01015014573931694,0.9903734922409058,16,0.0355260893702507,0.0,32,4314.3359375,0.010185671970248222,9500,-3.5526092688087374e-05,304032
0.005454040598124266,0.9946067333221436,17,0.026101496070623398,0.0,32,4481.87060546875,0.005480142310261726,10000,-2.610149749671109e-05,320032
0.03107745200395584,0.9743502140045166,18,0.05952273681759834,0.0,32,4668.37060546875,0.031136974692344666,10500,-5.952273932052776e-05,336032
0.03439338505268097,0.9708836078643799,18,0.07880078256130219,0.0,32,4886.3544921875,0.034472186118364334,11000,-7.880078919697553e-05,352032
0.05732366442680359,0.9717190265655518,19,0.02700640633702278,0.0,32,5065.4033203125,0.05735066905617714,11500,-2.7006408345187083e-05,368032
0.06607171893119812,0.9570658206939697,20,0.06322135031223297,0.0,32,5223.81640625,0.06613493710756302,12000,-6.322135595837608e-05,384032
0.001755272038280964,0.9982720613479614,21,0.007745788432657719,0.0,32,5402.5634765625,0.0017630178481340408,12500,-7.745788934698794e-06,400032
0.022105038166046143,0.9808316230773926,22,0.049139998853206635,0.0,32,5592.47412109375,0.022154178470373154,13000,-4.914000237477012e-05,416032
0.0020804693922400475,0.9979362487792969,23,0.010677572339773178,0.0,32,5758.08837890625,0.002091147005558014,13500,-1.0677573300199583e-05,432032
0.006058433558791876,0.9942349195480347,24,0.020595835521817207,0.0,32,5908.4140625,0.00607902929186821,14000,-2.0595836758730002e-05,448032
0.004498068708926439,0.9957045316696167,24,0.016522027552127838,0.0,32,6057.67578125,0.004514590837061405,14500,-1.65220280905487e-05,464032
0.006503727752715349,0.9937139749526978,25,0.024962715804576874,0.0,32,6256.26025390625,0.006528690457344055,15000,-2.4962717361631803e-05,480032
0.007727224845439196,0.9929653406143188,26,0.02021690271794796,0.0,32,6439.79052734375,0.007747441530227661,15500,-2.0216903067193925e-05,496032
0.00547516904771328,0.994672954082489,27,0.023037342354655266,0.0,32,6611.01025390625,0.005498206242918968,16000,-2.3037342543830164e-05,512032
0.026011262089014053,0.9808926582336426,28,0.035365961492061615,0.0,32,6768.7392578125,0.0260466281324625,16500,-3.5365963412914425e-05,528032
0.014453491196036339,0.988404393196106,29,0.02087840624153614,0.0,32,6941.86669921875,0.014474369585514069,17000,-2.0878407667623833e-05,544032
0.03135315701365471,0.9785195589065552,30,0.03352789208292961,0.0,32,7085.20654296875,0.031386684626340866,17500,-3.352789281052537e-05,560032
0.005601020529866219,0.9946415424346924,30,0.02031566947698593,0.0,32,7343.3681640625,0.005621336400508881,18000,-2.0315670553827658e-05,576032
0.025418469682335854,0.9820150136947632,31,0.027545912191271782,0.0,32,7477.587890625,0.02544601634144783,18500,-2.754591332632117e-05,592032
