bc/ent_loss,bc/prob_true_act,bc/l2_loss,bc/neglogp,bc/batch,bc/epoch,bc/samples_so_far,rollout/return_max,rollout/return_mean,bc/loss,bc/l2_norm,rollout/return_std,bc/entropy,rollout/return_min,batch_size
-0.0016094238962978125,0.19943052530288696,0.0,1.612295150756836,0,0,32,-26.316049575805664,-34.488304138183594,1.6106857061386108,672.500244140625,5.19633150100708,1.6094238758087158,-42.37272262573242,32
-0.0005067220190539956,0.7505801320075989,0.0,0.4566240906715393,0,0,32,756.6251220703125,591.745361328125,0.4561173617839813,766.1298828125,126.81672668457031,0.5067219734191895,409.3123474121094,32
-0.0005022494588047266,0.7558844089508057,0.0,0.36755889654159546,0,0,32,915.502197265625,645.5675659179688,0.36705663800239563,875.9987182617188,345.25994873046875,0.5022494196891785,22.74488639831543,32
-0.0004161050892435014,0.6940954923629761,0.0,0.6116806864738464,0,0,32,730.675537109375,636.9251098632812,0.6112645864486694,1011.3662719726562,83.42374420166016,0.4161050617694855,481.5352478027344,32
-0.0002491266350261867,0.8356444835662842,0.0,0.338655948638916,500,4,16032,923.6064453125,742.1444091796875,0.33840683102607727,1242.50048828125,238.12290954589844,0.2491266131401062,298.9316101074219,32
-0.00020618179405573756,0.8645250797271729,0.0,0.3267098069190979,0,0,32,913.8060913085938,758.4114990234375,0.3265036344528198,1277.7081298828125,227.13470458984375,0.20618177950382233,317.4166564941406,32
-0.00023747126397211105,0.9073011875152588,0.0,0.11875583231449127,500,3,16032,906.0083618164062,562.4964599609375,0.11851835995912552,1521.917236328125,395.4736022949219,0.23747125267982483,4.9420623779296875,32
-0.00017789253615774214,0.9093149900436401,0.0,0.15611158311367035,0,0,32,912.5034790039062,656.8855590820312,0.1559336930513382,1626.6124267578125,295.857666015625,0.1778925210237503,248.65560913085938,32
-0.00013520703942049295,0.9470523595809937,0.0,0.06287310272455215,500,2,16032,928.603271484375,823.5486450195312,0.06273789703845978,1860.199462890625,180.69223022460938,0.13520702719688416,462.7498474121094,32
-0.00017000538355205208,0.9263882040977478,0.0,0.09773527085781097,0,0,32,914.6062622070312,774.4044799804688,0.09756526350975037,2018.0047607421875,260.7540588378906,0.17000538110733032,253.21060180664062,32
-5.039223833591677e-05,0.9813579320907593,0.0,0.02241814136505127,500,2,16032,862.12744140625,479.8763732910156,0.022367749363183975,2199.7490234375,225.74278259277344,0.050392236560583115,185.33554077148438,32
-0.000108605447167065,0.9085427522659302,0.0,0.17453810572624207,1000,4,32032,918.6039428710938,806.8629150390625,0.1744295060634613,2380.14697265625,147.46661376953125,0.10860544443130493,538.52294921875,32
-0.0001211155831697397,0.9106931686401367,0.0,0.279767781496048,0,0,32,903.5039672851562,639.1064453125,0.2796466648578644,2384.64404296875,338.8125305175781,0.12111558020114899,52.598358154296875,32
-5.709167453460395e-05,0.9816714525222778,0.0,0.020794112235307693,500,2,16032,893.4255981445312,692.421142578125,0.020737020298838615,2593.093505859375,354.8141784667969,0.05709167197346687,-13.401893615722656,32
-2.750684870989062e-05,0.981184720993042,0.0,0.027355078607797623,1000,4,32032,919.8040161132812,869.2098388671875,0.02732757106423378,2763.127197265625,81.35411071777344,0.02750684693455696,707.3475341796875,32
-6.458524148911238e-05,0.9375609755516052,0.0,0.3944779932498932,0,0,32,920.7046508789062,900.5222778320312,0.39441341161727905,2811.847412109375,17.59885025024414,0.06458523869514465,878.728271484375,32
-0.00010183748236158863,0.9542123079299927,0.0,0.0618138387799263,500,1,16032,915.9019775390625,855.9288940429688,0.06171200051903725,3061.807373046875,81.43395233154297,0.10183747857809067,694.4859619140625,32
-4.778337824973278e-05,0.9677773714065552,0.0,0.051726631820201874,1000,3,32032,917.2037353515625,768.4393920898438,0.0516788475215435,3248.843994140625,257.7020263671875,0.04778337478637695,254.15017700195312,32
-2.203007352363784e-05,0.9929924607276917,0.0,0.007629361003637314,0,0,32,916.8015747070312,907.5255126953125,0.007607331033796072,3337.923095703125,12.420251846313477,0.022030072286725044,883.6157836914062,32
-4.100744627066888e-05,0.978302538394928,0.0,0.030334467068314552,500,1,16032,908.5009155273438,855.2638549804688,0.030293459072709084,3576.265380859375,72.86786651611328,0.04100744426250458,711.3284301757812,32
-3.296503200544976e-05,0.989385724067688,0.0,0.011487439274787903,1000,3,32032,923.3062744140625,605.3888549804688,0.011454474180936813,3739.45654296875,327.30810546875,0.032965030521154404,10.205413818359375,32
-5.2974759455537423e-05,0.9375706911087036,0.0,0.19580337405204773,0,0,32,918.3029174804688,842.23779296875,0.1957504004240036,3864.647216796875,82.76924896240234,0.05297475680708885,716.028076171875,32
-0.00012679134670179337,0.9479295611381531,0.0,0.06310880184173584,500,1,16032,922.0067749023438,760.6981201171875,0.06298200786113739,4121.02392578125,271.6797790527344,0.1267913430929184,217.9896240234375,32
-1.078544300980866e-05,0.9980747699737549,0.0,0.0019390881061553955,1000,3,32032,908.9071655273438,880.2673950195312,0.0019283026922494173,4292.69140625,28.96337127685547,0.010785442776978016,825.006591796875,32
-8.873438673617784e-06,0.9982399940490723,0.0,0.0017802044749259949,1500,4,48032,919.106201171875,763.5556640625,0.0017713310662657022,4439.44140625,299.7196350097656,0.008873438462615013,164.15826416015625,32
-3.9056711102603e-05,0.990193247795105,0.0,0.010448742657899857,0,0,32,915.0038452148438,745.6611328125,0.010409685783088207,4458.76513671875,301.3625183105469,0.03905671089887619,143.39840698242188,32
