bc/samples_so_far,bc/l2_norm,bc/entropy,bc/batch,bc/l2_loss,bc/prob_true_act,bc/ent_loss,bc/neglogp,bc/epoch,bc/loss,batch_size
32,672.500244140625,1.609424114227295,0,0.0,0.19932004809379578,-0.001609424245543778,1.6128456592559814,0,1.6112362146377563,32
16032,924.5801391601562,0.46662813425064087,500,0.0,0.7445428967475891,-0.0004666281456593424,0.4093438386917114,0,0.4088772237300873,32
32032,1093.7608642578125,0.30965858697891235,1000,0.0,0.8095593452453613,-0.00030965861515142024,0.4481871724128723,0,0.44787752628326416,32
48032,1314.9539794921875,0.24330370128154755,1500,0.0,0.8083306550979614,-0.00024330371525138617,0.3726690113544464,1,0.37242570519447327,32
64032,1502.4227294921875,0.3921615779399872,2000,0.0,0.7925958037376404,-0.00039216160075739026,0.3198184370994568,1,0.3194262683391571,32
80032,1673.7332763671875,0.22938165068626404,2500,0.0,0.9118541479110718,-0.00022938166512176394,0.111121267080307,2,0.11089188605546951,32
96032,1852.27001953125,0.15496569871902466,3000,0.0,0.9398238062858582,-0.0001549657026771456,0.07388272881507874,2,0.07372776418924332,32
112032,2042.7879638671875,0.2842090427875519,3500,0.0,0.8352561593055725,-0.000284209061646834,0.2975118160247803,3,0.2972276210784912,32
128032,2256.7509765625,0.15705211460590363,4000,0.0,0.9089862108230591,-0.00015705212717875838,0.14237621426582336,3,0.1422191560268402,32
144032,2437.78662109375,0.2750697731971741,4500,0.0,0.8708040714263916,-0.00027506978949531913,0.17434491217136383,3,0.1740698367357254,32
160032,2647.08447265625,0.1054738238453865,5000,0.0,0.9511686563491821,-0.00010547383135417476,0.07903362810611725,4,0.0789281576871872,32
176032,2866.572509765625,0.1693955659866333,5500,0.0,0.9214625358581543,-0.00016939557099249214,0.10078109800815582,4,0.10061170160770416,32
192032,3062.783935546875,0.13631650805473328,6000,0.0,0.9024805426597595,-0.00013631652109324932,0.21117641031742096,5,0.21104009449481964,32
208032,3287.395751953125,0.12707367539405823,6500,0.0,0.9286426901817322,-0.00012707368296105415,0.10940121114253998,5,0.10927413403987885,32
224032,3506.09716796875,0.08317966759204865,7000,0.0,0.9722963571548462,-8.317967149196193e-05,0.03071342036128044,6,0.030630240216851234,32
240032,3710.356689453125,0.19391192495822906,7500,0.0,0.8631566762924194,-0.00019391193927731365,0.28753072023391724,6,0.2873367965221405,32
256032,3932.1865234375,0.12543265521526337,8000,0.0,0.901297926902771,-0.00012543266348075122,0.24661603569984436,6,0.24649059772491455,32
272032,4143.625,0.1145181804895401,8500,0.0,0.9212702512741089,-0.00011451818863861263,0.15037479996681213,7,0.15026028454303741,32
288032,4379.4931640625,0.11357265710830688,9000,0.0,0.9512574672698975,-0.00011357266339473426,0.061071306467056274,7,0.060957733541727066,32
304032,4592.625,0.08184868842363358,9500,0.0,0.9574856758117676,-8.184869511751458e-05,0.06458773463964462,8,0.06450588256120682,32
320032,4817.75830078125,0.05593687295913696,10000,0.0,0.980587899684906,-5.593687455984764e-05,0.022430354729294777,8,0.022374417632818222,32
336032,5039.37646484375,0.13294486701488495,10500,0.0,0.8921064734458923,-0.00013294487143866718,0.2028937190771103,9,0.20276077091693878,32
352032,5230.80712890625,0.04982874542474747,11000,0.0,0.9839816093444824,-4.982874816050753e-05,0.01751680299639702,9,0.017466973513364792,32
368032,5437.49755859375,0.0976220890879631,11500,0.0,0.941077709197998,-9.762209083419293e-05,0.08530005812644958,10,0.08520243316888809,32
384032,5641.40087890625,0.13059201836585999,12000,0.0,0.8802782297134399,-0.00013059203047305346,0.28386953473091125,10,0.2837389409542084,32
400032,5868.6982421875,0.08891133964061737,12500,0.0,0.9595130681991577,-8.891134348232299e-05,0.050513219088315964,10,0.05042430758476257,32
416032,6068.345703125,0.07776590436697006,13000,0.0,0.9521108269691467,-7.776590791763738e-05,0.07435598969459534,11,0.07427822053432465,32
