bc/entropy,batch_size,bc/ent_loss,rollout/return_std,bc/samples_so_far,rollout/return_min,bc/loss,rollout/return_mean,bc/l2_norm,bc/epoch,rollout/return_max,bc/l2_loss,bc/prob_true_act,bc/neglogp,bc/batch
4.256815433502197,32,-0.004256815649569035,3.667316198348999,32,-59.32155990600586,3.0566703381179274,-53.330841064453125,672.5001220703125,0,-48.147823333740234,0.0,0.04836271547222719,3.0609271537674965,0
3.9340531826019287,32,-0.003934053238481283,8.726841926574707,32,-43.39614486694336,2.635892337283873,-29.65289878845215,732.78662109375,0,-18.088932037353516,0.0,0.07249216838370551,2.6398263905223542,0
3.126617193222046,32,-0.0031266172882169485,20.59305763244629,32,-21.568851470947266,1.7693169516016813,8.152023315429688,823.272216796875,0,37.324031829833984,0.0,0.17256597345044705,1.7724435688898983,0
1.8797037601470947,32,-0.0018797038355842233,31.695144653320312,32,-23.322738647460938,0.5575495775152264,14.141738891601562,1051.72900390625,0,52.86624526977539,0.0,0.5910358963137866,0.5594292813508106,0
0.4838968515396118,32,-0.0004838968743570149,106.92880249023438,16032,223.5263671875,-0.8604047291824811,432.9913635253906,1389.1009521484375,4,514.5042114257812,0.0,2.4143414017402125,-0.8599208323081241,500
0.2773946523666382,32,-0.00027739466167986393,229.31910705566406,32,279.7434387207031,-0.8793950461347538,578.2515869140625,1436.96044921875,0,845.3199462890625,0.0,2.672314095839636,-0.879117651473074,0
-0.8637557029724121,32,0.0008637557621113956,28.725513458251953,16032,829.113037109375,-2.07853059001717,876.2980346679688,1776.8072509765625,3,913.9066162109375,0.0,8.302614271310508,-2.0793943457792814,500
-1.4003463983535767,32,0.0014003465184941888,25.87164306640625,32,840.1497192382812,-0.6992092912272099,881.4478759765625,1901.1875,0,918.2062377929688,0.0,11.260167011712799,-0.7006096377457041,0
-2.2551286220550537,32,0.0022551286965608597,28.926298141479492,16032,860.0112915039062,-3.1423547614893454,894.5333862304688,2180.811279296875,2,934.00341796875,0.0,28.858552419431106,-3.1446098901859063,500
-2.9392528533935547,32,0.002939252881333232,195.3789825439453,32,417.23809814453125,-2.6453807740227537,805.604248046875,2378.86083984375,0,926.7056884765625,0.0,51.706036370657685,-2.648320026904087,0
-3.551602363586426,32,0.0035516025964170694,137.77723693847656,16032,540.2543334960938,-3.862865628876886,811.1768188476562,2598.1982421875,2,924.0054931640625,0.0,73.94199735026754,-3.866417231473303,500
-4.308947563171387,32,0.004308947827666998,166.84234619140625,32032,504.7403259277344,-4.568170811058803,785.0275268554688,2799.05126953125,4,932.4033813476562,0.0,178.0804331286422,-4.57247975888647,1000
-4.31348991394043,32,0.004313489887863398,218.43972778320312,32,355.5505065917969,-4.398077913920547,790.8141479492188,2801.212158203125,0,921.2007446289062,0.0,165.8518049519082,-4.40239140380841,0
-4.885078430175781,32,0.004885078873485327,214.71792602539062,16032,333.4318542480469,-5.629152730540053,753.5015258789062,2974.362548828125,2,906.9055786132812,0.0,330.7087973957954,-5.634037809413538,500
-5.497676372528076,32,0.005497676786035299,171.07725524902344,32032,503.9690856933594,-6.122383279378832,725.8841552734375,3139.162353515625,4,878.026611328125,0.0,585.3968969898981,-6.1278809561648675,1000
-5.619988441467285,32,0.005619988776743412,104.29651641845703,32,644.6806030273438,-6.020450376126053,847.8933715820312,3174.95068359375,0,928.2050170898438,0.0,807.5718745290054,-6.026070364902797,0
-5.877169132232666,32,0.005877169314771891,45.18273162841797,16032,794.9092407226562,-6.6334011732899345,873.6246948242188,3307.8740234375,2,932.6011962890625,0.0,1024.5281730697504,-6.639278342604706,500
-6.513853549957275,32,0.006513854023069143,228.15589904785156,32032,327.2401428222656,-6.618561410431782,776.6583251953125,3423.063232421875,4,931.3024291992188,0.0,1265.7800616151596,-6.625075264454851,1000
-6.635433197021484,32,0.006635433528572321,21.616939544677734,32,880.775634765625,-6.424880109243371,904.2354736328125,3478.924072265625,0,932.30078125,0.0,1495.550435658367,-6.431515542771943,0
-6.857264041900635,32,0.006857264321297407,123.86231231689453,16032,547.809814453125,-7.215068921472357,771.6281127929688,3575.40283203125,1,924.6995849609375,0.0,2047.1170542208174,-7.221926185793654,500
-7.279507637023926,32,0.00727950781583786,202.86619567871094,32032,374.6820983886719,-6.808738582434511,737.9859008789062,3674.482666015625,3,935.0055541992188,0.0,2344.0331722468686,-6.816018090250349,1000
-7.374795436859131,32,0.0073747956193983555,101.45828247070312,32,683.3838500976562,-6.943344742545934,809.239013671875,3739.9677734375,0,920.0025634765625,0.0,2602.9893489520996,-6.950719538165332,0
-7.383008003234863,32,0.007383008487522602,32.939186096191406,16032,840.2615356445312,-7.214214628382354,876.9320068359375,3824.272216796875,1,937.1051635742188,0.0,2195.427068758423,-7.221597636869877,500
-7.6735076904296875,32,0.007673508021980524,183.35784912109375,32032,435.9239196777344,-8.602163005325014,790.5750732421875,3898.861328125,3,930.6047973632812,0.0,6183.812187364894,-8.609836513346995,1000
-7.7986369132995605,32,0.007798637263476849,251.10806274414062,32,239.73904418945312,-8.1594507398428,737.2522583007812,3971.17626953125,0,890.6363525390625,0.0,5801.029257702515,-8.167249377106277,0
-7.752381801605225,32,0.007752382196485996,55.41064453125,16032,798.9616088867188,-8.22916610998336,868.2620849609375,4035.623779296875,1,930.8056640625,0.0,5062.412953613635,-8.236918492179846,500
-8.063279151916504,32,0.008063279092311859,201.89981079101562,32032,404.6390686035156,-7.172350718709764,806.774658203125,4093.93994140625,3,930.605224609375,0.0,6111.035011881598,-7.180413997802076,1000
