bc/epoch,bc/entropy,bc/ent_loss,bc/l2_norm,batch_size,bc/prob_true_act,bc/loss,bc/l2_loss,bc/samples_so_far,bc/neglogp,bc/batch
0,1.6094238758087158,-0.0016094238962978125,672.500244140625,32,0.19931137561798096,1.6112805604934692,0.0,32,1.6128900051116943,0
0,0.4647098779678345,-0.0004647099121939391,889.9712524414062,32,0.7593487501144409,0.46141818165779114,0.0,16032,0.46188288927078247,500
0,0.324298232793808,-0.0003242982493247837,1063.0020751953125,32,0.7571209669113159,0.4335825443267822,0.0,32032,0.4339068531990051,1000
1,0.2531124949455261,-0.0002531125210225582,1230.861572265625,32,0.8813663125038147,0.20618799328804016,0.0,48032,0.20644110441207886,1500
1,0.1520860195159912,-0.00015208602417260408,1406.7935791015625,32,0.9219263792037964,0.14774194359779358,0.0,64032,0.147894024848938,2000
1,0.37272119522094727,-0.0003727212024386972,1570.1065673828125,32,0.7447471022605896,0.538252055644989,0.0,80032,0.5386247634887695,2500
2,0.3446328938007355,-0.0003446329210419208,1776.1417236328125,32,0.7991690635681152,0.3786205053329468,0.0,96032,0.3789651393890381,3000
2,0.1081555187702179,-0.00010815552377607673,1946.4161376953125,32,0.9552270174026489,0.06581230461597443,0.0,112032,0.06592045724391937,3500
2,0.1229919046163559,-0.00012299191439524293,2111.6845703125,32,0.9664486646652222,0.03640874847769737,0.0,128032,0.03653173893690109,4000
3,0.16710570454597473,-0.0001671057107159868,2317.83251953125,32,0.9046601057052612,0.3078753352165222,0.0,144032,0.30804243683815,4500
3,0.12104187160730362,-0.00012104187771910802,2494.32373046875,32,0.9589133858680725,0.04712779447436333,0.0,160032,0.04724883660674095,5000
3,0.12772879004478455,-0.00012772879563272,2666.21533203125,32,0.9190919995307922,0.16896334290504456,0.0,176032,0.16909107565879822,5500
4,0.2245904505252838,-0.0002245904615847394,2839.02880859375,32,0.8453601002693176,0.31434810161590576,0.0,192032,0.31457269191741943,6000
4,0.14347821474075317,-0.0001434782170690596,3044.7109375,32,0.931233286857605,0.0888955220580101,0.0,208032,0.08903899788856506,6500
4,0.1332762986421585,-0.00013327630585990846,3225.532470703125,32,0.9187985062599182,0.13005587458610535,0.0,224032,0.13018915057182312,7000
5,0.11531203240156174,-0.00011531203927006572,3390.9033203125,32,0.9254530668258667,0.15614064037799835,0.0,240032,0.15625594556331635,7500
5,0.08043168485164642,-8.043168782023713e-05,3592.6796875,32,0.9439029693603516,0.10230813920497894,0.0,256032,0.10238856822252274,8000
5,0.16679705679416656,-0.00016679706459399313,3775.558349609375,32,0.9054043292999268,0.15297210216522217,0.0,272032,0.1531389057636261,8500
6,0.09116809815168381,-9.116810542764142e-05,3959.933837890625,32,0.9694203734397888,0.03373631089925766,0.0,288032,0.03382747992873192,9000
6,0.09659240394830704,-9.659241186454892e-05,4153.3427734375,32,0.9443093538284302,0.07488220930099487,0.0,304032,0.0749787986278534,9500
6,0.07398742437362671,-7.398743036901578e-05,4345.81201171875,32,0.98007732629776,0.0214433241635561,0.0,320032,0.02151731215417385,10000
7,0.04338798671960831,-4.3387990444898605e-05,4533.13720703125,32,0.9617098569869995,0.10035502165555954,0.0,336032,0.10039840638637543,10500
7,0.10321220755577087,-0.00010321220906917006,4729.7021484375,32,0.8990498781204224,0.25507140159606934,0.0,352032,0.2551746070384979,11000
7,0.21401990950107574,-0.00021401992125902325,4921.708984375,32,0.8639215230941772,0.21056541800498962,0.0,368032,0.21077944338321686,11500
8,0.06593239307403564,-6.593239959329367e-05,5120.18408203125,32,0.96646648645401,0.04536472260951996,0.0,384032,0.045430656522512436,12000
8,0.11050545424222946,-0.0001105054616346024,5321.16796875,32,0.9210563898086548,0.136723130941391,0.0,400032,0.13683363795280457,12500
9,0.11376060545444489,-0.00011376060865586624,5527.13037109375,32,0.9232311844825745,0.1174207255244255,0.0,416032,0.11753448843955994,13000
9,0.042479079216718674,-4.247908145771362e-05,5693.841796875,32,0.9634627103805542,0.08527963608503342,0.0,432032,0.08532211184501648,13500
9,0.08386978507041931,-8.386978879570961e-05,5909.53173828125,32,0.9476643800735474,0.08876540511846542,0.0,448032,0.088849276304245,14000
