bc/prob_true_act,bc/l2_norm,bc/neglogp,rollout/return_max,rollout/return_min,bc/batch,bc/loss,bc/ent_loss,batch_size,rollout/return_std,bc/l2_loss,bc/samples_so_far,bc/entropy,rollout/return_mean,bc/epoch
0.19943052530288696,672.500244140625,1.612295150756836,-26.316049575805664,-42.37272262573242,0,1.6106857061386108,-0.0016094238962978125,32,5.19633150100708,0.0,32,1.6094238758087158,-34.488304138183594,0
0.7505801320075989,766.1298828125,0.4566240906715393,756.6251220703125,409.3123474121094,0,0.4561173617839813,-0.0005067220190539956,32,126.81672668457031,0.0,32,0.5067219734191895,591.745361328125,0
0.7558844089508057,875.9987182617188,0.36755889654159546,915.502197265625,22.74488639831543,0,0.36705663800239563,-0.0005022494588047266,32,345.25994873046875,0.0,32,0.5022494196891785,645.5675659179688,0
0.6940954923629761,1011.3662719726562,0.6116806864738464,730.675537109375,481.5352478027344,0,0.6112645864486694,-0.0004161050892435014,32,83.42374420166016,0.0,32,0.4161050617694855,636.9251098632812,0
0.8356444835662842,1242.50048828125,0.338655948638916,923.6064453125,298.9316101074219,500,0.33840683102607727,-0.0002491266350261867,32,238.12290954589844,0.0,16032,0.2491266131401062,742.1444091796875,4
0.8645250797271729,1277.7081298828125,0.3267098069190979,913.8060913085938,317.4166564941406,0,0.3265036344528198,-0.00020618179405573756,32,227.13470458984375,0.0,32,0.20618177950382233,758.4114990234375,0
0.9073011875152588,1521.917236328125,0.11875583231449127,906.0083618164062,4.9420623779296875,500,0.11851835995912552,-0.00023747126397211105,32,395.4736022949219,0.0,16032,0.23747125267982483,562.4964599609375,3
0.9093149900436401,1626.6124267578125,0.15611158311367035,912.5034790039062,248.65560913085938,0,0.1559336930513382,-0.00017789253615774214,32,295.857666015625,0.0,32,0.1778925210237503,656.8855590820312,0
0.9470523595809937,1860.199462890625,0.06287310272455215,928.603271484375,462.7498474121094,500,0.06273789703845978,-0.00013520703942049295,32,180.69223022460938,0.0,16032,0.13520702719688416,823.5486450195312,2
0.9263882040977478,2018.0047607421875,0.09773527085781097,914.6062622070312,253.21060180664062,0,0.09756526350975037,-0.00017000538355205208,32,260.7540588378906,0.0,32,0.17000538110733032,774.4044799804688,0
0.9813579320907593,2199.7490234375,0.02241814136505127,862.12744140625,185.33554077148438,500,0.022367749363183975,-5.039223833591677e-05,32,225.74278259277344,0.0,16032,0.050392236560583115,479.8763732910156,2
0.9085427522659302,2380.14697265625,0.17453810572624207,918.6039428710938,538.52294921875,1000,0.1744295060634613,-0.000108605447167065,32,147.46661376953125,0.0,32032,0.10860544443130493,806.8629150390625,4
0.9106931686401367,2384.64404296875,0.279767781496048,903.5039672851562,52.598358154296875,0,0.2796466648578644,-0.0001211155831697397,32,338.8125305175781,0.0,32,0.12111558020114899,639.1064453125,0
0.9816714525222778,2593.093505859375,0.020794112235307693,893.4255981445312,-13.401893615722656,500,0.020737020298838615,-5.709167453460395e-05,32,354.8141784667969,0.0,16032,0.05709167197346687,692.421142578125,2
0.981184720993042,2763.127197265625,0.027355078607797623,919.8040161132812,707.3475341796875,1000,0.02732757106423378,-2.750684870989062e-05,32,81.35411071777344,0.0,32032,0.02750684693455696,869.2098388671875,4
0.9375609755516052,2811.847412109375,0.3944779932498932,920.7046508789062,878.728271484375,0,0.39441341161727905,-6.458524148911238e-05,32,17.59885025024414,0.0,32,0.06458523869514465,900.5222778320312,0
0.9542123079299927,3061.807373046875,0.0618138387799263,915.9019775390625,694.4859619140625,500,0.06171200051903725,-0.00010183748236158863,32,81.43395233154297,0.0,16032,0.10183747857809067,855.9288940429688,1
0.9677773714065552,3248.843994140625,0.051726631820201874,917.2037353515625,254.15017700195312,1000,0.0516788475215435,-4.778337824973278e-05,32,257.7020263671875,0.0,32032,0.04778337478637695,768.4393920898438,3
0.9929924607276917,3337.923095703125,0.007629361003637314,916.8015747070312,883.6157836914062,0,0.007607331033796072,-2.203007352363784e-05,32,12.420251846313477,0.0,32,0.022030072286725044,907.5255126953125,0
0.978302538394928,3576.265380859375,0.030334467068314552,908.5009155273438,711.3284301757812,500,0.030293459072709084,-4.100744627066888e-05,32,72.86786651611328,0.0,16032,0.04100744426250458,855.2638549804688,1
0.989385724067688,3739.45654296875,0.011487439274787903,923.3062744140625,10.205413818359375,1000,0.011454474180936813,-3.296503200544976e-05,32,327.30810546875,0.0,32032,0.032965030521154404,605.3888549804688,3
0.9375706911087036,3864.647216796875,0.19580337405204773,918.3029174804688,716.028076171875,0,0.1957504004240036,-5.2974759455537423e-05,32,82.76924896240234,0.0,32,0.05297475680708885,842.23779296875,0
0.9479295611381531,4121.02392578125,0.06310880184173584,922.0067749023438,217.9896240234375,500,0.06298200786113739,-0.00012679134670179337,32,271.6797790527344,0.0,16032,0.1267913430929184,760.6981201171875,1
0.9980747699737549,4292.69140625,0.0019390881061553955,908.9071655273438,825.006591796875,1000,0.0019283026922494173,-1.078544300980866e-05,32,28.96337127685547,0.0,32032,0.010785442776978016,880.2673950195312,3
0.9982399940490723,4439.44140625,0.0017802044749259949,919.106201171875,164.15826416015625,1500,0.0017713310662657022,-8.873438673617784e-06,32,299.7196350097656,0.0,48032,0.008873438462615013,763.5556640625,4
