bc/samples_so_far,bc/epoch,bc/l2_norm,bc/batch,bc/entropy,bc/prob_true_act,bc/neglogp,bc/loss,bc/l2_loss,batch_size,bc/ent_loss
32,0,128.500244140625,0,1.6094202995300293,0.20059557259082794,1.6064670085906982,1.6048575639724731,0.0,32,-0.0016094204038381577
16032,0,144.57760620117188,500,1.1840572357177734,0.3628353774547577,1.2747166156768799,1.273532509803772,0.0,32,-0.0011840573279187083
32032,1,144.6859130859375,1000,1.1389586925506592,0.4528080224990845,1.0213475227355957,1.0202085971832275,0.0,32,-0.0011389587307348847
48032,2,144.83135986328125,1500,1.1148412227630615,0.4031566381454468,1.186585545539856,1.185470700263977,0.0,32,-0.0011148413177579641
64032,3,144.7793731689453,2000,1.1181316375732422,0.33060669898986816,1.4514219760894775,1.4503037929534912,0.0,32,-0.0011181316804140806
80032,4,144.82423400878906,2500,1.1215085983276367,0.39210623502731323,1.2021043300628662,1.2009828090667725,0.0,32,-0.0011215086560696363
96032,5,144.66714477539062,3000,1.1540195941925049,0.3493945002555847,1.3904119729995728,1.3892579078674316,0.0,32,-0.001154019613750279
112032,6,144.39410400390625,3500,1.2175986766815186,0.3433767557144165,1.355156660079956,1.3539390563964844,0.0,32,-0.0012175986776128411
128032,6,144.82972717285156,4000,1.1624979972839355,0.40056782960891724,1.1154420375823975,1.1142795085906982,0.0,32,-0.0011624980252236128
144032,7,145.07557678222656,4500,1.1270514726638794,0.418016254901886,1.0545852184295654,1.0534582138061523,0.0,32,-0.0011270515387877822
160032,8,145.17662048339844,5000,1.1107404232025146,0.4437732696533203,1.0092580318450928,1.0081472396850586,0.0,32,-0.0011107404716312885
176032,9,144.8124542236328,5500,1.1777567863464355,0.3913455903530121,1.176289439201355,1.1751116514205933,0.0,32,-0.0011777568142861128
192032,10,145.02276611328125,6000,1.1636378765106201,0.35694560408592224,1.4120376110076904,1.4108740091323853,0.0,32,-0.0011636379640549421
208032,11,145.14234924316406,6500,1.195805311203003,0.38011762499809265,1.205052137374878,1.203856348991394,0.0,32,-0.0011958053801208735
224032,12,145.23434448242188,7000,1.154756784439087,0.415591299533844,1.0735208988189697,1.0723661184310913,0.0,32,-0.001154756871983409
240032,12,145.23037719726562,7500,1.1640095710754395,0.4323074519634247,1.0670502185821533,1.0658862590789795,0.0,32,-0.0011640096781775355
