bc/samples_so_far,bc/epoch,bc/l2_norm,bc/batch,bc/entropy,bc/prob_true_act,bc/neglogp,bc/loss,bc/l2_loss,batch_size,bc/ent_loss
720032,38,147.90512084960938,22500,1.1449055671691895,0.4665965735912323,0.955730676651001,0.9545857906341553,0.0,32,-0.00114490557461977
736032,39,148.22589111328125,23000,1.1609911918640137,0.45206719636917114,0.980807900428772,0.9796469211578369,0.0,32,-0.0011609912617132068
752032,40,148.27235412597656,23500,1.1647050380706787,0.417385458946228,1.0920159816741943,1.0908513069152832,0.0,32,-0.0011647051433101296
768032,41,148.24977111816406,24000,1.163599967956543,0.38446977734565735,1.2311787605285645,1.2300151586532593,0.0,32,-0.0011636000126600266
784032,42,148.82977294921875,24500,1.161752700805664,0.34110021591186523,1.4016315937042236,1.4004698991775513,0.0,32,-0.0011617527343332767
800032,43,148.588134765625,25000,1.171729564666748,0.5206167101860046,0.7205544114112854,0.7193827033042908,0.0,32,-0.0011717296438291669
816032,43,148.8791961669922,25500,1.1499717235565186,0.4236147701740265,1.0905044078826904,1.089354395866394,0.0,32,-0.0011499717365950346
832032,44,148.91983032226562,26000,1.1368236541748047,0.45797619223594666,0.9819130897521973,0.9807762503623962,0.0,32,-0.0011368236737325788
848032,45,149.17538452148438,26500,1.1578369140625,0.38927382230758667,1.1916491985321045,1.1904913187026978,0.0,32,-0.001157836988568306
864032,46,149.47850036621094,27000,1.118909239768982,0.3392113447189331,1.478888988494873,1.4777700901031494,0.0,32,-0.0011189093347638845
880032,47,149.14024353027344,27500,1.1584727764129639,0.4747317135334015,0.8549119830131531,0.8537535071372986,0.0,32,-0.0011584728490561247
896032,48,149.40585327148438,28000,1.1405341625213623,0.3523930609226227,1.3786416053771973,1.377501130104065,0.0,32,-0.0011405341792851686
912032,49,149.68310546875,28500,1.107966423034668,0.40725278854370117,1.1861507892608643,1.1850428581237793,0.0,32,-0.0011079665273427963
928032,49,149.18028259277344,29000,1.2100539207458496,0.3569145202636719,1.2865619659423828,1.2853518724441528,0.0,32,-0.0012100540334358811
